assigned_topic,topic_label,n_errors,most_confused_true,most_confused_pred,n_total,error_rate
7,7_touchdowns_interceptions_quarterback_touchdown,2,cs (1),uk (2),2,1.0
5,5_cuisine_cuisines_foods_culinary,1,ko (1),et (1),1,1.0
59,59_airport_airports_airlines_airline,1,uk (1),cs (1),1,1.0
57,57_band_frontman_bassist_vocalist,1,nl (1),ko (1),1,1.0
199,199_homer_sitcom_cartoon_sitcoms,1,ko (1),cs (1),1,1.0
208,208_frescoes_chapel_pope_basilica,1,cs (1),uk (1),1,1.0
129,129_pol_communists_rouge_soviet,2,ko (1),et (1),2,1.0
75,75_boxer_heavyweight_middleweight_heavyweights,1,cs (1),ko (1),1,1.0
157,157_apartheid_decolonisation_1979_smith,1,nl (1),uk (1),1,1.0
147,147_cardiovascular_cardiomyopathy_cardiac_hypertension,1,ko (1),nl (1),1,1.0
530,530_shaggy_voiced_cartoon_cartoons,1,uk (1),ko (1),1,1.0
574,574_impeachment_testified_indictment_prosecutor,1,uk (1),ko (1),1,1.0
303,303_fleet_1797_sailed_fleets,1,uk (1),ko (1),1,1.0
328,328_nicotine_tobacco_cigarettes_cigarette,1,ko (1),et (1),1,1.0
369,369_novel_scout_rye_nonfiction,1,uk (1),ko (1),1,1.0
348,348_mandarin_dialects_languages_lingua,1,ko (1),et (1),1,1.0
299,299_numerals_numeral_numbers_numerology,1,uk (1),et (1),1,1.0
245,245_awards_nominated_nominations_screenplay,1,cs (1),et (1),1,1.0
231,231_bighorn_1876_bull_elk,2,uk (2),cs (2),2,1.0
215,215_emperors_emperor_roman_empire,1,cs (1),uk (1),1,1.0
886,886_spiritualism_spirituality_paganism_esotericism,1,uk (1),ko (1),1,1.0
889,889_fashion_designers_designer_fashions,1,cs (1),uk (1),1,1.0
896,896_airlines_airline_pan_flights,2,cs (1),ko (1),2,1.0
839,839_fastest_racing_mph_speed,1,ko (1),et (1),1,1.0
809,809_fitness_gyms_gym_gymnastics,2,ko (2),cs (2),2,1.0
812,812_baker_divorced_remarried_stepfather,1,uk (1),cs (1),1,1.0
963,963_deities_polytheism_monotheistic_monotheism,1,cs (1),ko (1),1,1.0
943,943_stagecoach_ford_cinematography_films,1,ko (1),cs (1),1,1.0
775,775_seo_searches_webmaster_webmasters,2,et (1),nl (1),2,1.0
763,763_murderer_murders_murdered_killings,1,ko (1),cs (1),1,1.0
464,464_sang_carpenter_carpenters_billboard,1,uk (1),et (1),1,1.0
442,442_suffrage_referendum_referendums_women,1,cs (1),uk (1),1,1.0
426,426_stooge_moe_curly_comedies,1,cs (1),ko (1),1,1.0
425,425_jazz_saxophonist_trumpeter_saxophone,1,uk (1),ko (1),1,1.0
415,415_deforestation_reforestation_forestry_forests,2,nl (1),uk (1),2,1.0
373,373_satyagraha_revolt_rebellion_salt,1,nl (1),uk (1),1,1.0
2358,2358_composers_orchestra_composer_orchestras,2,cs (1),et (2),2,1.0
2350,2350_condemnation_testimony_guilt_heresy,1,cs (1),ko (1),1,1.0
