id	assigned_topic	topic_label	label
HPod_1	1863	1863_rap_rock_album_band	MILOSTNÉ
HPod_4	1492	1492_attractiveness_aesthetics_beauty_aesthetic	MILOSTNÉ
HPod_9	1403	1403_poverty_deprivation_poor_welfare	MILOSTNÉ
HPod_11	741	741_airing_adult_swim_aqua	MILOSTNÉ
HPod_12	159	159_windows_vista_os_pc	MILOSTNÉ
HPod_13	1862	1862_quixotic_literature_chivalric_novel	MILOSTNÉ
HPod_15	2222	2222_retailer_store_sales_shop	MILOSTNÉ
HPod_16	349	349_kiss_toured_concerts_tour	MILOSTNÉ
HPod_18	1083	1083_tanks_tank_partisan_ideological	MILOSTNÉ
HPod_19	992	992_linden_lab_copyright_token	MILOSTNÉ
HPod_21	1877	1877_zombie_walkers_zombies_walking	MILOSTNÉ
HPod_22	474	474_lightning_thunderstorm_thunderstorms_storms	MILOSTNÉ
HPod_23	1863	1863_rap_rock_album_band	MILOSTNÉ
HPod_24	2242	2242_biblical_testament_mythological_epistle	MILOSTNÉ
HPod_27	1901	1901_sat_exams_exam_admissions	MILOSTNÉ
HPod_28	1492	1492_attractiveness_aesthetics_beauty_aesthetic	MILOSTNÉ
HPod_30	1450	1450_newspapers_newspaper_periodicals_gazette	MILOSTNÉ
HPod_31	1403	1403_poverty_deprivation_poor_welfare	MILOSTNÉ
HPod_32	1877	1877_zombie_walkers_zombies_walking	MILOSTNÉ
HPod_33	372	372_rose_roses_frontman_revolver	MILOSTNÉ
HPod_34	1862	1862_quixotic_literature_chivalric_novel	MILOSTNÉ
HPod_37	1872	1872_tsar_1812_armies_casualties	MILOSTNÉ
HPod_41	335	335_trilogy_remastered_gods_editions	MILOSTNÉ
HPod_42	1446	1446_happiness_wellbeing_unhappiness_happier	MILOSTNÉ
HPod_43	349	349_kiss_toured_concerts_tour	MILOSTNÉ
HPod_44	52	52_vogue_magazine_glamour_magazines	MILOSTNÉ
HPod_45	790	790_degree_bachelor_diploma_qualification	MILOSTNÉ
HPod_46	1863	1863_rap_rock_album_band	MILOSTNÉ
HPod_48	1597	1597_brewery_beers_breweries_tents	MILOSTNÉ
HPod_49	640	640_defamation_lawsuit_sued_libel	MILOSTNÉ
HPod_50	1448	1448_airplay_tv_apple_televisions	MILOSTNÉ
HPod_51	1770	1770_bugs_insects_insecticides_pest	MILOSTNÉ
HPod_52	1862	1862_quixotic_literature_chivalric_novel	MILOSTNÉ
HPod_53	1243	1243_heterochromia_pigmentation_pigment_pigments	MILOSTNÉ
HPod_54	1388	1388_rapper_tribe_rap_tip	MILOSTNÉ
HPod_55	1659	1659_tower_towers_fortification_moat	MILOSTNÉ
HPod_56	1409	1409_missionaries_charity_nuns_orphanages	MILOSTNÉ
HPod_57	1353	1353_cherry_blossom_cherries_blossoms	MILOSTNÉ
HPod_58	790	790_degree_bachelor_diploma_qualification	MILOSTNÉ
HPod_59	2222	2222_retailer_store_sales_shop	MILOSTNÉ
HPod_60	1492	1492_attractiveness_aesthetics_beauty_aesthetic	MILOSTNÉ
HPod_65	2318	2318_memories_memory_recall_psychology	MILOSTNÉ
HPod_67	2322	2322_moon_drummer_drums_drummers	MILOSTNÉ
HPod_70	2322	2322_moon_drummer_drums_drummers	MILOSTNÉ
HPod_71	2367	2367_critical_thinking_reasoned_reflective	MILOSTNÉ
HPod_72	1863	1863_rap_rock_album_band	MILOSTNÉ
HPod_75	790	790_degree_bachelor_diploma_qualification	MILOSTNÉ
HPod_77	349	349_kiss_toured_concerts_tour	MILOSTNÉ
HPod_78	938	938_ford_presidency_presidential_presidents	MILOSTNÉ
HPod_82	775	775_seo_searches_webmaster_webmasters	MILOSTNÉ
