id	assigned_topic	topic_label	label
aesmt02900040000	1267	1267_doomsday_sequel_gameplay_multiplayer	kalendarilaulud
aesmt04900200009	1119	1119_proud_boys_protests_protesters	kalendarilaulud
aesmt06000320019	1338	1338_eggs_egg_yolks_yolk	kalendarilaulud
e000051950018	1758	1758_noblewomen_empress_maids_governesses	kalendarilaulud
e000071530013	918	918_hemp_cannabis_textiles_cultivated	kalendarilaulud
e000071570017	1408	1408_celebrations_festival_celebrated_festivities	kalendarilaulud
e000071580019	952	952_gymnast_gymnastics_gymnasts_olympic	kalendarilaulud
e000071590020	425	425_jazz_saxophonist_trumpeter_saxophone	kalendarilaulud
e000075910001	1770	1770_bugs_insects_insecticides_pest	kalendarilaulud
e000075920003	1770	1770_bugs_insects_insecticides_pest	kalendarilaulud
e000076820011	877	877_stratosphere_meteorological_stratospheric_climatic	kalendarilaulud
e000077270008	298	298_eastern_daylight_clocks_noon	kalendarilaulud
e000077350012	425	425_jazz_saxophonist_trumpeter_saxophone	kalendarilaulud
e000077360014	425	425_jazz_saxophonist_trumpeter_saxophone	kalendarilaulud
e000078340012	658	658_lasers_fibers_laser_fiber	kalendarilaulud
e000078890014	425	425_jazz_saxophonist_trumpeter_saxophone	kalendarilaulud
e00007892017b	425	425_jazz_saxophonist_trumpeter_saxophone	kalendarilaulud
e000078940020	472	472_traditional_dhoti_sari_dresses	kalendarilaulud
e000080300007	1448	1448_airplay_tv_apple_televisions	kalendarilaulud
e000080600047	425	425_jazz_saxophonist_trumpeter_saxophone	kalendarilaulud
e000080620049	1193	1193_cricket_cricketers_stadium_cricketing	kalendarilaulud
e000093660046	310	310_protocols_protocol_packet_packets	kalendarilaulud
e000093690049	877	877_stratosphere_meteorological_stratospheric_climatic	kalendarilaulud
e000104130006	274	274_bee_sang_singer_songwriter	kalendarilaulud
e000107430008	2255	2255_northwest_fort_settlers_forts	kalendarilaulud
e000117880009	425	425_jazz_saxophonist_trumpeter_saxophone	kalendarilaulud
e000151100022	425	425_jazz_saxophonist_trumpeter_saxophone	kalendarilaulud
e000178290016	668	668_income_poverty_median_households	kalendarilaulud
e000239830003	520	520_spice_concert_girls_spicy	kalendarilaulud
e000531940002	1268	1268_afar_militias_ceasefire_humanitarian	kalendarilaulud
e000546780003	1014	1014_nails_albums_album_band	kalendarilaulud
e000546830000	296	296_depot_retailer_retailers_warehouses	kalendarilaulud
e000547680000	1698	1698_cellar_cellars_imprisonment_captives	kalendarilaulud
e000592150014	1869	1869_slender_skinny_creepypastas_creepypasta	kalendarilaulud
e000595240009	1268	1268_afar_militias_ceasefire_humanitarian	kalendarilaulud
e000595250010	1268	1268_afar_militias_ceasefire_humanitarian	kalendarilaulud
e000595260013	2163	2163_sausage_sausages_bun_chili	kalendarilaulud
e000615530000	1460	1460_aunt_uncle_breakfast_mammy	kalendarilaulud
e000615540000	1698	1698_cellar_cellars_imprisonment_captives	kalendarilaulud
e000616670009	1822	1822_trail_trails_overland_railroad	kalendarilaulud
e000616790018	1267	1267_doomsday_sequel_gameplay_multiplayer	kalendarilaulud
e000616890005	291	291_peppers_chili_funk_flea	kalendarilaulud
e000723650000	1496	1496_airborne_airfields_soviet_regiments	kalendarilaulud
e000796070000	1268	1268_afar_militias_ceasefire_humanitarian	kalendarilaulud
e000796110000	2129	2129_fish_cannibalism_tortured_murders	kalendarilaulud
e000796140000	1268	1268_afar_militias_ceasefire_humanitarian	kalendarilaulud
e000796320000	1756	1756_horse_horses_cavalry_rode	kalendarilaulud
e000796670000	1014	1014_nails_albums_album_band	kalendarilaulud
e800V00630254	2322	2322_moon_drummer_drums_drummers	kalendarilaulud
e8XII00590190	415	415_deforestation_reforestation_forestry_forests	kalendarilaulud
ea00002860045	1460	1460_aunt_uncle_breakfast_mammy	kalendarilaulud
ekms40504300013	918	918_hemp_cannabis_textiles_cultivated	kalendarilaulud
ekms40504340017	1448	1448_airplay_tv_apple_televisions	kalendarilaulud
ekms40504350019	2374	2374_entrances_subterranean_tunnel_stairs	kalendarilaulud
ekms40504360020	425	425_jazz_saxophonist_trumpeter_saxophone	kalendarilaulud
eks0100110000	472	472_traditional_dhoti_sari_dresses	kalendarilaulud
eks010011000a	425	425_jazz_saxophonist_trumpeter_saxophone	kalendarilaulud
eks0100300000	1937	1937_golf_golfer_golfers_handicaps	kalendarilaulud
eks010053000a	657	657_cryptography_encryption_cryptosystems_cryptosystem	kalendarilaulud
eks5001570109	425	425_jazz_saxophonist_trumpeter_saxophone	kalendarilaulud
era100507130000	1770	1770_bugs_insects_insecticides_pest	kalendarilaulud
era200101190003	1338	1338_eggs_egg_yolks_yolk	kalendarilaulud
era200101450003	371	371_macron_presidential_candidate_candidates	kalendarilaulud
era200703750048	1919	1919_racing_eliminated_laps_motorsports	kalendarilaulud
era200l01260003	1863	1863_rap_rock_album_band	kalendarilaulud
era201101880001	967	967_forested_vegetation_conifers_forests	kalendarilaulud
era201101910004	1338	1338_eggs_egg_yolks_yolk	kalendarilaulud
era201101970001	1338	1338_eggs_egg_yolks_yolk	kalendarilaulud
era201102010001	2145	2145_wastes_waste_disposal_recycling	kalendarilaulud
era201107030001	1278	1278_rainbow_rainbows_violet_colours	kalendarilaulud
era201107070002	2287	2287_knight_donated_philanthropist_philanthropic	kalendarilaulud
era201107110004	450	450_bear_bears_grizzly_predators	kalendarilaulud
era201107150005	111	111_flags_flag_flagpole_commonwealth	kalendarilaulud
era201107170006	2123	2123_strips_circular_strip_folds	kalendarilaulud
era201400730011	1843	1843_rivers_celebrity_housewives_comedian	kalendarilaulud
era201401010007	658	658_lasers_fibers_laser_fiber	kalendarilaulud
era201402270015	658	658_lasers_fibers_laser_fiber	kalendarilaulud
era201402330022	952	952_gymnast_gymnastics_gymnasts_olympic	kalendarilaulud
era202400930003	1475	1475_indigenous_spirit_spirits_natives	kalendarilaulud
era202401550001	1869	1869_slender_skinny_creepypastas_creepypasta	kalendarilaulud
era202401790014	955	955_pearls_pearl_pearling_oysters	kalendarilaulud
era202403180043	1758	1758_noblewomen_empress_maids_governesses	kalendarilaulud
era202403500004	2322	2322_moon_drummer_drums_drummers	kalendarilaulud
era202405520009	1072	1072_resuscitation_defibrillation_defibrillator_cardiopulmonary	kalendarilaulud
era202405540010	1808	1808_sitcom_cast_bunch_spinoffs	kalendarilaulud
era202405560011	515	515_ribbons_ribbon_gallantry_medals	kalendarilaulud
era202406170005	859	859_toured_concert_début_tour	kalendarilaulud
era202406990001	1869	1869_slender_skinny_creepypastas_creepypasta	kalendarilaulud
era202500430010	2163	2163_sausage_sausages_bun_chili	kalendarilaulud
era202500520017	877	877_stratosphere_meteorological_stratospheric_climatic	kalendarilaulud
era202500970020	1502	1502_rooms_room_palace_furnishings	kalendarilaulud
era205705610034	415	415_deforestation_reforestation_forestry_forests	kalendarilaulud
era205705610035	1086	1086_inscriptions_inscription_epigraphy_taluk	kalendarilaulud
era208305670003	2282	2282_rosemary_lobotomy_nuns_lobotomized	kalendarilaulud
era208403870011	291	291_peppers_chili_funk_flea	kalendarilaulud
era208701290020	1476	1476_evil_eye_gaze_eyes	kalendarilaulud
era213102870465	1581	1581_mix_albums_little_remix	kalendarilaulud
era213202950002	1460	1460_aunt_uncle_breakfast_mammy	kalendarilaulud
era217205290065	1394	1394_brothers_nick_band_songs	kalendarilaulud
era218305900004	1014	1014_nails_albums_album_band	kalendarilaulud
era229801510017	0	0_goalscorer_scored_goals_goal	kalendarilaulud
era229801510018	1492	1492_attractiveness_aesthetics_beauty_aesthetic	kalendarilaulud
erm16700030001	658	658_lasers_fibers_laser_fiber	kalendarilaulud
estk2701320001	1460	1460_aunt_uncle_breakfast_mammy	kalendarilaulud
estk2701320006	658	658_lasers_fibers_laser_fiber	kalendarilaulud
estk2701330002	425	425_jazz_saxophonist_trumpeter_saxophone	kalendarilaulud
estk2701340003	918	918_hemp_cannabis_textiles_cultivated	kalendarilaulud
estk3701030009	1014	1014_nails_albums_album_band	kalendarilaulud
estk3701560001	425	425_jazz_saxophonist_trumpeter_saxophone	kalendarilaulud
estk4000100021	425	425_jazz_saxophonist_trumpeter_saxophone	kalendarilaulud
estk4000260052	1747	1747_moss_quarterback_cornerback_punts	kalendarilaulud
