id	assigned_topic	topic_label	label	lang
Erb_1809	1646	1646_catch_22_circumstance_novel	SVATEBNÍ	cs
Erb_1811	1873	1873_divine_persona_scene_onstage	SVATEBNÍ	cs
Erb_1814	334	334_boulevard_celebrity_fame_celebrities	SVATEBNÍ	cs
Erb_1815	1194	1194_mayor_mayors_mayoral_mayoralty	SVATEBNÍ	cs
Erb_1816	370	370_tennis_doubles_competed_tournaments	SVATEBNÍ	cs
Erb_1817	1872	1872_tsar_1812_armies_casualties	SVATEBNÍ	cs
Erb_1818	1056	1056_palaces_ibn_mosque_palace	SVATEBNÍ	cs
Erb_1819	1268	1268_afar_militias_ceasefire_humanitarian	SVATEBNÍ	cs
Erb_1820	1581	1581_mix_albums_little_remix	SVATEBNÍ	cs
Erb_1821	1119	1119_proud_boys_protests_protesters	SVATEBNÍ	cs
Erb_1823	426	426_stooge_moe_curly_comedies	SVATEBNÍ	cs
Erb_1824	159	159_windows_vista_os_pc	SVATEBNÍ	cs
Erb_1827	1872	1872_tsar_1812_armies_casualties	SVATEBNÍ	cs
Erb_1828	2222	2222_retailer_store_sales_shop	SVATEBNÍ	cs
Erb_1829	313	313_thylacines_thylacine_fauna_mammals	SVATEBNÍ	cs
Erb_1831	2	2_married_divorced_couple_remarried	SVATEBNÍ	cs
Erb_1833	1581	1581_mix_albums_little_remix	SVATEBNÍ	cs
Erb_1834	992	992_linden_lab_copyright_token	SVATEBNÍ	cs
Erb_1836	208	208_frescoes_chapel_pope_basilica	SVATEBNÍ	cs
Erb_1838	1581	1581_mix_albums_little_remix	SVATEBNÍ	cs
Erb_1839	790	790_degree_bachelor_diploma_qualification	SVATEBNÍ	cs
Erb_1840	2367	2367_critical_thinking_reasoned_reflective	SVATEBNÍ	cs
Erb_1843	192	192_polygamous_polygamy_polyamory_polygamists	SVATEBNÍ	cs
Erb_1844	1973	1973_writer_novels_novel_literary	SVATEBNÍ	cs
Erb_1848	154	154_rings_ring_shire_hobbit	SVATEBNÍ	cs
Erb_1858	1476	1476_evil_eye_gaze_eyes	SVATEBNÍ	cs
Erb_1860	1531	1531_albums_concert_toured_band	SVATEBNÍ	cs
Erb_1861	1027	1027_daddy_reggaeton_rapper_rap	SVATEBNÍ	cs
Erb_1864	1267	1267_doomsday_sequel_gameplay_multiplayer	SVATEBNÍ	cs
Erb_1865	1721	1721_tithes_genesis_tithe_testament	SVATEBNÍ	cs
Erb_1866	1446	1446_happiness_wellbeing_unhappiness_happier	SVATEBNÍ	cs
Erb_1867	107	107_anthrax_slayer_thrash_bands	SVATEBNÍ	cs
Erb_1868	1492	1492_attractiveness_aesthetics_beauty_aesthetic	SVATEBNÍ	cs
Erb_1872	1057	1057_nirvana_overdosed_grunge_overdose	SVATEBNÍ	cs
Erb_1873	1271	1271_jong_heir_eldest_successor	SVATEBNÍ	cs
Erb_1874	2152	2152_transit_commute_commuting_commuters	SVATEBNÍ	cs
Erb_1875	441	441_woman_wonder_goddess_feminist	SVATEBNÍ	cs
Erb_1876	1083	1083_tanks_tank_partisan_ideological	SVATEBNÍ	cs
Erb_1877	860	860_pastor_pastors_megachurch_evangelical	SVATEBNÍ	cs
Erb_1878	963	963_deities_polytheism_monotheistic_monotheism	SVATEBNÍ	cs
Erb_1879	349	349_kiss_toured_concerts_tour	SVATEBNÍ	cs
Erb_1882	107	107_anthrax_slayer_thrash_bands	SVATEBNÍ	cs
Erb_1883	2048	2048_biblical_patriarch_prophethood_genesis	SVATEBNÍ	cs
Erb_1884	2202	2202_medieval_antiquity_renaissance_darkness	SVATEBNÍ	cs
Erb_1887	1873	1873_divine_persona_scene_onstage	SVATEBNÍ	cs
Erb_1890	1721	1721_tithes_genesis_tithe_testament	SVATEBNÍ	cs
Erb_1893	506	506_soprano_mafia_joey_carmine	SVATEBNÍ	cs
Erb_1894	1446	1446_happiness_wellbeing_unhappiness_happier	SVATEBNÍ	cs
Erb_1895	1446	1446_happiness_wellbeing_unhappiness_happier	SVATEBNÍ	cs
Erb_1896	93	93_goaltender_puck_goalie_hockey	SVATEBNÍ	cs
Erb_1897	1133	1133_spartan_ancient_battle_invasion	SVATEBNÍ	cs
Erb_1898	1513	1513_redheads_redhead_reddish_ginger	SVATEBNÍ	cs
