Topic,Count,Name,Representation,Representative_Docs
-1,1571,-1_wreath_dear mother_pepíček_leave,"['wreath', 'dear mother', 'pepíček', 'leave', 'marry', 'maiden', 'wife', 'care', 'garden', 'lord']","[""1. That is Tříško's sowing, it is nice and green, there stands Pepíček, a handsome young man, in the green rosemary.  \r\n2. Go to him, my dear, ask him what he is doing. His little head hurts, beautiful Pepíček, he needs a doctor.  \r\n3. Two doctors came, they immediately saw his problem: If you had a girl for a short while, you would be cured.  \r\n4. Milka, when she heard this, immediately ran to him, took his hand, gave him a kiss, and so she healed him.  \r\n5. Don’t leave, my dear, stay here until morning, we will sleep together and love each other until the white morning.  \r\n6. If you want to sleep together, you must get married. In the Libeň rectory, the priest will bind your hands, then you can sleep together.  \r\n7. When they bound our hands, people did not wish us well, that we would be our own, sincere spouses until our end."", '1. The road to Zlosejn is long, I will look at it, if my Pepíček is there, I will call him. My dear Pepíček, escort me for a mile, escort me for two miles, and I will escort you for four.\r\n\r\n2. What did I do to you, my Pepíček, that you are so angry with me, slandering me among people? It can easily happen that we part ways, since I don’t have to, my Nanynka, I don’t have to visit you.\r\n\r\n3. Nanynka went for a walk, Pepíček stood by the window, called to his lady-mother to come to him for a moment. Dear lady-mother, you are the cause of how my heart aches when I see her standing with another.\r\n\r\n4. Send me for a painter, I will have her painted, when my heart aches, I will look at her. The painter does not want to come to me, I must leave this world, because of one woman I have to waste my life.\r\n\r\n5. Half a year after the funeral, Nanynka got married, and when the wedding was over, she went to the cemetery, cried. Go away from my grave, go to your husband, and I will sleep in the grave until the Judgement Day.', '1. The earth trembles, the world rejoices, the false world rejoices, the mother commands her son, oh, oh, you must not go there.  \r\n2. Dear little bird, if you are sincere, right after dinner, step outside the door for a moment, I will tell you something.  \r\n3. The next day the lover went out, she did not hear a thing, not even the click of a nail, she remained sad.  \r\n4. On the third day letters went out that my dear is gravely ill and no one can help him except his beloved.  \r\n5. She went for medicine to the apothecary, brought him as many medicines as there are flowers in our grove, but they were of no use.  \r\n6. On the fourth day they carry the body out, six handsome young men, each leading his bride, holding a candle in their hand.  \r\n7. And behind them walks his beloved carrying a beautiful wreath, her heart trembles for it, she cries and laments.  \r\n8. And you parents, what do you get from this? You armed against your son that I have no fortune, your son died.']"
0,296,0_sorrow_sorrowful_loved_beloved,"['sorrow', 'sorrowful', 'loved', 'beloved', 'crying', 'shining', 'darling', 'wreath', 'loves', 'farewell']","['1. Oh, if only I could hear your sighs, what great love existed between us. That love, it is gone, it will never return, he who loves at night is the most deceitful.  \r\n2. I have something nice here, in your memory, I have a gold ring, from your estate. You gave it to me when you loved me, as a sign of our love, because you liked me.  \r\n3. Oh, remember those words when you promised me, under the wide, open sky when you loved me. You spoke to me sweetly, but it was with poison, I deceived many of them, but you deceived me alone.  \r\n4. Oh, where is the green wreath, where is my purity? Perhaps some black crows have carried it away into the world. The wreath jumps in the world, the heart cries in the body, oh wait, you deceiver, revenge will not miss you.  \r\n5. Oh, where is that dark night, if it could speak, it would tell us where it saw us standing. The dark night is gone, it will not return, he who loves at night is the most deceitful.  \r\n6. The nightingale is a small bird, it hops under the little tree, mine, the dearest of all, weeps on the little bed. For the green wreath, my joy, I had great love for you, but no more.  \r\n7. This song was composed by soldiers from Nymburk, who loved girls in Prague and Hradec. They composed it nicely for Czech maidens, we will no longer love you, all of you are deceitful.', ""1. What a shame a hundred times over for our little garden, I had a bed of marigolds sown there. Tradydata tratata tradydata tratata, a bed of marigolds, tradydata dá.  \r\n2. I am drawn to green, blue angers me because my darling walks with others.  \r\n3. Yesterday he promised me that today he would come to me, so I should wait for him until the moon rises.  \r\n4. If I were not afraid, Nanynka, of your betrayal, I would come to you in your garden.  \r\n5. But since I am afraid that you would betray me, that my little pouch would not last a year.  \r\n6. Don’t be afraid, Honzík, that I would betray you, I will cover the little window with a red scarf.  \r\n7. I will cover the little window, I will wait for you, I will pour a little beer, I will love you.  \r\n8. I kept waiting and my dear does not come, perhaps he loves a maiden somewhere else.  \r\n9. Gentle breeze, carry him my greetings, I am weaving him a wreath made of rosemary.  \r\n10. In our garden I was weaving a wreath, my dear Honzík came to the little window.  \r\n11. The lark sings, the sun is already shining, it is time, my dear, I must go home.  \r\n12. If you love me, come with me to the little grove, come and see me off through the lord's little woods.  \r\n13. She only saw me off a little way, gave me a nice few kisses for the road. It was a dance song. According to the print by S. Pospíšil in Chrudim from 1861. A new song for young men and maidens."", '1. Blue eyes, why are you crying, you will not be mine. You will not and must not, it’s useless to think of me.  \r\n2. My poor mother was struggling, she raised me with difficulty. She rocked me, cared for me, and would have given her life for me.  \r\n3. My father even poorer, he loved blue eyes. He loved blue eyes so much, it’s a pity for them a thousand times.  \r\n4. My mother gave me blue eyes, left me an orphan. A poor little orphan, and unhappier than all others.  \r\n5. At the market square, there under the arcade, my beloved is betrothed to another. I would go to him, but the path is bad, it rains by day, and it’s dark by night.  \r\n6. I went to him through the alleys, two little stars were shining for me. One bright, the other dark, my beloved is angry with me.  \r\n7. And you, dark one, brighten up, my darling, make peace with me. How can I make peace with you if you do not want to love me?  \r\n8. I will now go away into the world, but where will I stay overnight? Somewhere in the forest on a little patch of grass, there I will lay my head.  \r\n9. Who will heal my little head? It hurts so much for you. It hurts so much, what have you done? You never loved me.  \r\n10. If you loved a poor girl, you would say, boy, that I would be yours. Then at the altar you would promise, that forever you want to love me.']"
1,84,1_soldier_army don_soldiers_took army,"['soldier', 'army don', 'soldiers', 'took army', 'dear mother', 'join army', 'army', 'horse', 'black horse', 'horses']","['1. That charming little church,  \r\naround it a small grove,  \r\nwhen I walk that way,  \r\nI will remember  \r\nwhat my Jeníček is doing.  \r\n\r\n2. And he rides, rides, rides  \r\non his black horse,  \r\nlooking at himself  \r\nand fastening  \r\na steel saber to himself.  \r\n\r\n3. When he fastened the saber,  \r\nhe stood in front of his house,  \r\ncalled out to his parents,  \r\nwept sadly,  \r\nuntil the black horse neighed.  \r\n\r\n4. What are you doing, parents,  \r\nwhat are you doing,  \r\nthat you make me stand  \r\nwith this horse  \r\nin front of our house for so long?  \r\n\r\n5. His mother heard that  \r\nand immediately ran outside:  \r\n“Oh, my dear son,  \r\nwho sent you to the army,  \r\nwho is responsible for this?”  \r\n\r\n6. The cause is that lord,  \r\nthe lord lieutenant of Brod,  \r\nhe sent me to the army,  \r\ntied me with ropes,  \r\nand even put a guard on me.', 'My mother raised me with difficulty, passing me from hand to hand. They were rocking me in the cradle, already talking to me about the army. I haven\'t even grown up yet, and I am to become a soldier: since they have already tied me up, what can I do? They tied me up, tied me up with ropes so I wouldn’t go after girls. But I will untie myself, I will go after all, for my girl is a fine maiden. My golden girl sleeps in the little room, oh, I wish I could speak to her! I will go, knock on the little window: Get up, come open for me, my dear! Open, open, while I wait, while I still do not wear a white uniform. ""Would I gladly open for you if my head didn’t hurt."" Surely your head doesn\'t hurt as you claim, but that in your heart you have another! The groves are turning nice and green, others are courting my girl. Let them court her if they want: just let them not kiss her in front of me. If they embraced her in front of me, they would make my heart heavy. Turn around, little sun, over those forests: my girl no longer comforts me. Although she comforted me, she will no longer: she will comfort me somewhere else!', 'Water flows, it flows down the creek to the river: a young soldier spoke to a blue-eyed girl. Oh mother, dear mother! give me advice: a young soldier has started to follow me. ""Oh daughter, my daughter! leave the soldier alone: soldiers will ride away, you will be left alone."" Oh mother, dear mother! your advice is bad: I have already tied my dress, I will go with the soldiers. Soldiers, soldiers! you have beautiful horses: I would also like to ride with you, which one will you give me? ""No other than the black one: he will be nicely saddled, you will sit on him."" After a year, she returned to her mother, carrying a little soldier wrapped in a spotted blanket. Oh mother, dear mother! help me now: my baby will call you: Grandma! ""Oh daughter, my daughter! my advice was bad: may whoever gave you that advice now help you!"" Oh God, oh great God! what was I thinking that I did not want to obey my dear mother! Now I am alone, like a little dove flying into the world, searching for a mate. Now I am alone, like a pear tree in the field: when the pears are picked, it stands sad. Now I am alone, like a post by the road: only now do I realize the misfortune I have!']"
2,76,2_drink_beer_drank_wine,"['drink', 'beer', 'drank', 'wine', 'drunk', 'praise', 'cheerful', 'spirits', 'tavern', 'pour']","[""A drunk man. What is happening to me, no one wishes me well; they point their fingers at me, they consider me a drunkard: as if I were not worthy to be a little merry and drank away my money! If I drank away, say, a ducat, the landlady would not be angry; the landlord does not quarrel with me, he pours me beer: as if I were not worthy, etc. Come on, gentlemen musicians! play cheerfully for me; play, trumpet in all directions, and cheer me up: as if I were, etc. A head full of merriment, not a penny in my pocket; if my wife has any money, I take it all from her: as if I were, etc. Yesterday I went to the pub, she was running after me; as soon as I had a half-liter of beer, she attacked me: as if I were, etc. She always blames me – believe me, on my word – that my coat is full of patches, my trousers full of holes: as if I were, etc. Oh, my dear little wife! just don't be angry with me, rather earn me some money for a beer: as if I were not worthy to be a little merry and drink some beer!"", '1. The most beautiful human life is the maltster’s life, it is the maltster’s life. Only there does the work succeed, where good beer is brewed, where good beer is brewed. The mug always full of divine yeast, a joy to watch the merry crew, noisy in the taproom, cheerful jest, smoke and mist pierce through.  \r\n2. The axe goes for Pepík: Get up, Pepé, into youth, loosen up a little more, here’s the key from the foreman. The young man jumps up, rubs his eyes, runs to the cellar, fills the mug, what was behind, then quickly forward, he would spend the world.  \r\n3. A girl went for yeast, they send her to the brewhouse, the brewmaster is said to give it to her, he likes pretty girls. The girl stands shyly behind the barrel, “Sir brewmaster, could you give the better yeast?” He took her by the chin, pressed a kiss on her, had better gain with it.  \r\n4. And that malt-drier like a fierce dragon, uncombed, unwashed, often thirsty in the throat, despite working hard. He likes best to enjoy caraway schnapps in the small room, he has his flask for that devil, don’t be surprised at him, he would drink like a wolf, his throat is pitch-coated.  \r\n5. Observe the friend with the green from Gotvald, the Stachovka is from Czech Pilsen, what a handsome young man he is. Wherever he wanders, he turns the malt mill, pays excise and gets more beer, cheerfully raising a full tray: Hail Gambrinus!', ""A most glorious day has come to us, on which everyone is to be joyful, whoever has anywhere to begin, even if only for a whole week. We have nowhere to begin, we must go caroling to you, dear, esteemed gentlemen, may God grant you success! To your wife, your children, and your household: may the Lord bless you in your work. Give us a thaler or a ducat, we will remember you, for all time our group will praise you. If you lessen it for us, and give some gold: give it only willingly; we will gladly accept it from you as thanks, and we will buy wine for our coats, we will season it with spirits, and line it with bitters. We have long asked for this, that we might meet with you; united together, let us hold a celebration! We will be merry together, we will toast each other: wine, beer, and spirits for each other's health. Then we will part from you, and all go home again to our work, hardworking brewers. And you, boy, sweep, gather the grain into a pile! You know we like to drink, and do not waste. It was the last day of the year 1840. In the New Town of Prague, in a freight house, we sat down to dinner: the host, the brewer, an honest Old Czech, at the head, and the rest of us in two rows along the whole length of the hall up to the doors. Then a song sounded outside: “A most glorious day has come to us,” the doors opened and the brewing youth entered the room singing, each carrying something: the deputy elder a rod, the herd a sack, two water carriers a sprinkler and incense borrowed from the church, sprinkling and incensing, each brewer and maltster a shovel, and the boys brooms. Standing half-circle by the door they sang further. And when the words of the last stanza came: “And you, boy, sweep,” the host threw a hard thaler to the ground, the herd set the sack and the boy drove the thaler into it with his broom. Then the deputy elder wished the host and his whole family a “happy new year,” thanked them for the gift, and then, all bowing, they left again.""]"
3,69,3_circle_spins_ring_turns,"['circle', 'spins', 'ring', 'turns', 'dance', 'children', 'game', 'ends', 'turn', 'play']","['For the gold ring. This game is usually played by girls. One is the dealer, another stands aside as the guesser; the rest sit in a circle, with their hands folded in their laps, palms together. The dealer, similarly folding her hands palm to palm, places a ring between them, then goes to each girl in the circle, placing her hands between the girl\'s hands, saying: ""I hide, I hide the gold ring!"" or: ""I smear, I clap so no one can see!"" and at the same time lets the ring slip into one of their palms, but in such a way that the guesser does not know who has the ring. Then she says to the guesser: Guess, guess, guesser, who has the gold ring? The guesser walks around the girls, saying: I would like to guess, jumping over golden trees, crossing the sea, weaving nets: whoever has it, let her give it, and not make a fool of me! She has it – she has it – it’s her! Then she reaches the hands of the one she guessed for the ring. If she guessed correctly, she becomes the dealer in the next game, and the one who had the ring becomes the guesser; the previous dealer then takes her place in the circle. If the guesser does not guess and reaches empty hands, she must remain the guesser in the next game.', 'II. Two boys first secretly agree between themselves who will be the Angel and who will be the Devil, and with a half-step they make a gate, but each only with one hand. The other boys, holding hands, form a circle in the gate, so that one pillar of the gate is inside the circle and the other pillar is outside the circle. The circle begins to turn, and the Devil and the Angel sing as follows: Under the pit, a mouse, under the pit: come, you tomcat, come with us! The keys ring, the violet scents. The gate is open, supported by a sword: whoever touches the gate shall be beheaded. Slash! Slash! Slash! At the word “slash!” the arch is lowered for the first and second time always between two boys in the circle, and immediately lifted again; but at the third time the circle stops, and the gate asks the one in front of whom the arch was lowered: “Whom do you join?” He then answers: “You,” pointing to one or the other, not knowing whether he joined the Angel or the Devil, and stands behind him. Then the circle closes again, starts to turn, and the gate sings as in the beginning: Under the pit, a mouse, etc. This goes on until even the last one in the circle has joined either one or the other side of the gate. Then the Angel and the Devil reveal themselves, and the “Heavenly ones” and the “Hellish ones” begin to fight, pulling each other across the Line as in the previous game.', 'Helička was not proud, not proud, yet she came to our feast, came: Heličko! Heličko! Smooth your golden cheek, hop on your bare little foot, choose a bridesmaid from the circle, from the rose a blossom, from the rose a blossom, the one that would suit you best. Now the circle will remain standing, Helička will take one bridesmaid from it and dance three times with her in the circle, during which the other bridesmaids, standing, sing as follows: Over mountains, over valleys, over waters, over forests, hey little ball, you golden quince! Let go of that bridesmaid, stay in the circle. Then Helička leads the bridesmaid back to her previous place in the circle, stands again in the middle, and the bridesmaids, beginning to turn around her again, sing as at the beginning: Helička was not proud, etc. Now Helička takes the second girl in the circle to dance, and then the third, and so on one after another, until she has replaced them all, which ends the game. In practice, the children deviate from this order of the game by having Helička, after dancing with a bridesmaid, leave her in her place in the circle and herself, becoming a bridesmaid, turn with the others around the new Helička; in this way, everyone takes turns. However, this is against the rule of the song itself, which explicitly commands Helička to let go of the bridesmaid and remain in the circle herself.']"
4,67,4_sung_prague_czech_libeň,"['sung', 'prague', 'czech', 'libeň', 'sang', 'soldiers', 'praise', 'army don', 'hardship', 'farewell']","['Prague 1916, ""popularly sung by the soldiers of the 28th regiment""\r\n\r\n1. Listen, a stranger\'s hand is knocking at the window. Open, mother, surely a letter has come from my Andulka, surely a letter has come from my Andulka.  \r\n2. Open, boy, I am a little afraid, take it yourself, sudden fear grips my heart, I have a bad feeling.  \r\n3. To arms, hurry, duty calls, I must go immediately, I cannot even say goodbye to all of you.  \r\n4. The weak woman screamed, sank gently, tearing gray hairs: Protect and return my child to me, only God.  \r\n5. I already have the little bundle tied up, I am going into an unknown world, when, oh when will I return again to my dearest?  \r\n6. The brave army drives the enemy with an assault, every moment death reaches for a comrade.  \r\n7. The cannons ceased thunder, the night covers the dead bodies with a shroud, over the bloodied battlefield a higher power rules.  \r\n8. In the trampled grass, a son of his mother just died. Sleep sweetly, whisper the stars from heaven.', ""Libeň 1905, singer not specified\r\n\r\n1. Four horses in the yard, in the yard, no one plows with them, Pepíček plows with them, Pepíček, has a little hat on the side.  \r\n2. When he finished plowing the field, he called to his beloved: Come, my dear, come to me, I will tell you what is wrong with me.  \r\n3. My little head hurts, mother hit it, father also hit it, so I wouldn't come to you.  \r\n4. They may not beat you for me, you can go to another. I will not go to another, I'd rather join the army.  \r\n5. Don't join the army, don't pout at your parents! I will surely join the army, I will pout at my parents.  \r\n6. I jump on my little horse, I wave a white scarf. Goodbye, my dear, tomorrow will be different again. Goodbye, my dear, tomorrow will be different again."", 'Prague 1916, ""soldiers of the 28th regiment sang on the march""\r\n\r\n1. The spring sun behind black clouds sadly descends, the spring sun behind black clouds sadly descends, Czech reservists, poor soldiers, are drafted to the field, Czech reservists, poor soldiers, are drafted to the field.\r\n\r\n2. They say farewell to their dear Czech homeland, their hearts ache, to occupy the distant Montenegrin borders in Dalmatia.\r\n\r\n3. On the borders of Montenegro itself, there is a deep chasm, where many a young girl lovingly leaves her sweetheart.\r\n\r\n4. The wide sea and high rocks are our friends, they will not return to us what we loved, the sincere girl.\r\n\r\n5. Often I wonder to myself what my beloved is doing, whether he still remembers that Czech girl, whether he still recalls.\r\n\r\n6. When the military band plays ""Where is my home,"" at that moment the blue-eyed girl must still cry.\r\n\r\n7. This song was composed by soldiers, Czech reservists, in that fourteenth year, during the world war under a bright moon.']"
5,64,5_little dove_little flower_little rose_flowers,"['little dove', 'little flower', 'little rose', 'flowers', 'little garden', 'little bird', 'dove', 'roses', 'flower', 'little heart']","['Shine, little moon, gently on that lord’s grove: don’t think, my dear maiden, that I would take you. I walked through the forest, I was cheerful, singing to myself; I heard the sad lament of my maiden. She stood under a little tree, I did not see her; she threw an apple at me, she spoke to me. – Under the little grove above the small orchard grows the mayflower: where did you put, my maiden, the red roses? “The red roses have withered, the wreaths cannot be worn: do not think, my delight, that I must want you. What good is rosemary that does not smell: what good are you, my delight, when you have another! What good is lavender that does not bloom: what good are you, my delight, when you do not want me!” Under the little hill in the village was a garden; my maiden used to walk there, picking flowers. When she picked a little bouquet, then she wept: “If only I had never known you, my delight!”', 'When I walked through the oak forest, drowsiness overcame me; and by morning, rosemary had blossomed behind my head. I cut all the green rosemary twigs, set them afloat on the water, on the cold water. The maiden who will catch the green rosemary will be my dearest by the cold water. The maidens went to the river in the morning, filling buckets: then those rosemary twigs were floating right to the footbridge. Anička, the miller’s daughter, leaned over the twigs and, unfortunate little dove, fell into the water. \r\n\r\n1) Bells ring, bells ring three times, what could that mean? Tell me, you little birds! Surely it’s not my beloved? ""Your beloved, your joy, they are laying in a coffin; four men in black robes are putting her in the grave."" \r\n\r\nAh, my dearest God! You have taken my bride from me! Tell me, you little birds, the way to her grave. ""Behind the hill, in the little church, priests are singing in the choir; five steps behind the little church, in the grave, lies your beloved."" \r\n\r\nThere I will go, I will weep, I will sit on that dark grave, and for you, my maiden, I will bear a heavy sorrow. I will bear the heavy sorrow until death frees me, and a wreath of rosemary will be laid on my shroud!', '1. A little tree blooms in the field, a little tree and under the little tree a little grave, a little grave, in which lies a young soldier.  \r\n2. Birds fly to him and sit on the branches, singing to their beloved.  \r\n3. The beloved at home cried and waited for her beloved and waited for her beloved.  \r\n4. When she could not wait any longer, she ran out into the dark night and called to her beloved.  \r\n5. Return to me, my dear, come back, sincere heart, wherever you are, my dear.  \r\n6. The little horse trots along the road, the beloved returns to the bride, the beloved returns to the bride.  \r\n7. Knock, knock on the window: Are you sleeping, my dear maiden? Open your little window!  \r\n8. Oh, I am not sleeping, not sleeping, my dear, for I have been waiting for you all this time, for I have been waiting for you all this time.  \r\n9. The beloved opens the door, embraces her beloved, embraces her beloved.  \r\n10. Where did you put the gold ring, which had a precious stone in it, which had a precious stone in it?  \r\n11. I hid the ring in the ground, when I was fighting, my dear, when I was fighting, my dear.  \r\n12. Where did you put the handkerchief, my dear, which my hands embroidered, decorated with little flowers?  \r\n13. The handkerchief tore apart, when I was fighting in Russia, the wind blew it away in the field.  \r\n14. If you are a sincere girl, sit with me on the horse, we will go home together.  \r\n15. Where is your home, my dear? There is my home built, far away in Russian land.  \r\n16. They rode out into the dark night, the horse’s hooves rang, until they arrived at the cemetery.  \r\n17. What is that, my dear, an enclosure? That is my garden, my green garden.  \r\n18. What are those crosses, my dear? Those are my green trees, those are my green trees.  \r\n19. What grave is opening? That is my home, my dear, that is my home, my dear.  \r\n20. If you are sincere to me, come inside with me, my dear, come inside with me, my dear.  \r\n21. Why wouldn’t I be sincere, since I waited for you, since I stayed faithful to you?  \r\n22. And when they entered the grave, the stones fell down, covering the two lovers.  \r\n23. The organ played in the church, the bells rang in the tower, thus they celebrated their wedding together.']"
6,56,6_caroling_beautiful little_sorrow_christmas,"['caroling', 'beautiful little', 'sorrow', 'christmas', 'merry', 'dear father', 'heaven', 'precious', 'sing', 'lord god']","['Our dear uncle, listen to us for a moment while we sing to you and joyfully tell a story. Jesus, the little child, a beautiful boy, was born in Bethlehem, born of the Virgin Mary. And in that common stable, He was laid on hay between two oxen by His beloved mother. He suffered hunger, thirst, and cold, all for our fault: that King of heavenly glory visited us, the earthly people. Amen, we will now sing and ask for carols: do not let us stand here, nor delay long. If you do not give – let us rejoice! you will find remembrance – let us be glad! in the new little coat and warm bed you will find a hole. A hole so small that a deer could jump through it here, being shot: so you will see, if you do not give, you will see harm.', '1. Boys, come to us, I will tell you something: Dress yourselves in a little coat, we will all go to Baby Jesus, we will sing, we will carol.  \r\n2. An angel is floating in beautiful clouds, singing with a pleasant voice, revealing joy to the people: Jesus was born to us, God and Lord.  \r\n3. He lies in Bethlehem, in a stable on hay, he has no pillow nor ragged swaddling clothes, born into this poor world in poverty.  \r\n4. Honzík, hurry and run to the forest, bring him some dry wood, keep little Jesus warm, so he does not freeze with his dear mother!  \r\n5. Nanynka is running, she is already at the door, carrying a bottle of cream, a piece of butter for the semolina, to make porridge, to give to Jesus.  \r\n6. Tonda with the pipes, Vašek with the trumpets are hurrying to Bethlehem, to play for him a little, to make music there.  \r\n7. Then they played for the little king right away: břim břim tradla fidli fidli, dujduj dadla dydli dydli; hop hop hopsasa, sang the group.', ""1. Praised be the Lord Jesus Christ, brother Matěj! Forever and ever, amen, brother Ondřej. I’m running to Bethlehem, I don’t know what is happening there. Oh please, come back with me, I will tell you something.  \r\n2. Our boys were tending the flocks near Bethlehem at night, at midnight there was a brightness as clear as day, they heard angelic singing, they ran to Bethlehem, saying the Messiah was born, they spoke the truth.  \r\n3. In that common stable lies in the hay in the manger, he has a mother, a poor mother in wretched swaddling clothes, he is said to be so beautiful, he smiles at everyone, whoever looks at him feels joy from him.  \r\n4. Anastasia the merchant’s [brings] almonds, biscuits, Cecilia the craftsman's daughter brings apples, nuts, and Františka brings spices and Františka brings spices, Lucka brings gingerbread, marzipan, and Lenka brings melons.  \r\n5. Františka, the smith's daughter, carries the quilt, just hurry up, she’s trembling from the cold, Františka is pulling feathers, Verunka will sew it, just hurry quickly, or it is cold.  \r\n6. And you, brother friends, tune the instruments, where are the little children, they will sing, Franta, you start the organ, Ondřej start the trombones, Tadeáš had a horn and Nácek the drums.  \r\n7. Bagpipes, bagpipes I will blow, let them roar loudly, let the music by the manger please him, let us be joyful when Jesus is sleeping, his mother will rock him, he will fall asleep peacefully. Children still sang this as a Christmas carol about thirty years ago.""]"
7,43,7_sunday_march_day_saint,"['sunday', 'march', 'day', 'saint', 'christmas', 'st', 'autumn', 'week', 'spring', 'today']","[""If it rains on St. John the Baptist's Day, it will rain for three whole days; if the weather is nice on St. John the Baptist's Day, you will have three nice whole days."", ""25th and 30th November. From St. Catherine's Day to St. Andrew's Day, one can hardly warm up under the quilt."", ""July 25. From the side St. James' wind blows, on that side there will be dear flour. Hot weather on St. James' Day, cold at Christmas.""]"
8,42,8_maidens_maiden_beautiful maiden_golden maiden,"['maidens', 'maiden', 'beautiful maiden', 'golden maiden', 'roses', 'wreath', 'cakes', 'women', 'darling', 'little feet']","['Above the little hill, below the little hill, there stand two maidens: I greeted them, but they did not thank me. I took one by the hand, and the other by both hands: Look, my maiden, look at me. ""I will not look at you, I am angry with you: you took away my wreath, which I still do not have. The wreath, green, woven from rosemary, which I gladly gave you because you were my joy."" What will you wish me, my maiden, what will you wish me, when I walk with another girl on walks? ""I wish you so much bad luck that you won\'t live long, and when you ride on your little horse, may you break your head!""', 'Violets for maidens, roses for young men, nettles for widows, and nettles for old women. Cakes for maidens, buns for young men, dumplings for widows, potatoes for old women. Shoes for maidens, boots for young men, slippers for widows, slippers for old women. Paradises for maidens, heavens for young men, purgatory for widows, and hell for old women.', '1. Violets for maidens, roses for young men, poverty for widows, nettles for old women.  \r\n2. Cakes for maidens, buns for young men, dumplings for widows, slippers for old women.  \r\n3. Shoes for maidens, boots for young men, slippers for widows, slippers for old women.  \r\n4. Paradises for maidens, heaven for young men, purgatory for widows, and hell for old women.']"
