id	assigned_topic	topic_label	lang
Erb_1809	18	18_farmer_rye_oats_horses	cs
Erb_1811	11	11_little horses_horses_maids_altar	cs
Erb_1814	0	0_dear_sorrow_wish_weaving	cs
Erb_1815	11	11_little horses_horses_maids_altar	cs
Erb_1816	18	18_farmer_rye_oats_horses	cs
Erb_1817	18	18_farmer_rye_oats_horses	cs
Erb_1818	0	0_dear_sorrow_wish_weaving	cs
Erb_1819	0	0_dear_sorrow_wish_weaving	cs
Erb_1820	18	18_farmer_rye_oats_horses	cs
Erb_1821	6	6_poplar_eyebrows_bright_boast	cs
Erb_1823	11	11_little horses_horses_maids_altar	cs
Erb_1824	0	0_dear_sorrow_wish_weaving	cs
Erb_1827	18	18_farmer_rye_oats_horses	cs
Erb_1828	0	0_dear_sorrow_wish_weaving	cs
Erb_1829	14	14_gyeongsang_jeolla_country_blow	cs
Erb_1831	0	0_dear_sorrow_wish_weaving	cs
Erb_1833	18	18_farmer_rye_oats_horses	cs
Erb_1834	9	9_wreath_wreaths_wreath wreath_periwinkle	cs
Erb_1836	11	11_little horses_horses_maids_altar	cs
Erb_1838	0	0_dear_sorrow_wish_weaving	cs
Erb_1839	18	18_farmer_rye_oats_horses	cs
Erb_1840	0	0_dear_sorrow_wish_weaving	cs
Erb_1843	0	0_dear_sorrow_wish_weaving	cs
Erb_1844	16	16_song praise_cheerful song_sing song_sing	cs
Erb_1848	0	0_dear_sorrow_wish_weaving	cs
Erb_1858	0	0_dear_sorrow_wish_weaving	cs
Erb_1860	0	0_dear_sorrow_wish_weaving	cs
Erb_1861	11	11_little horses_horses_maids_altar	cs
Erb_1864	0	0_dear_sorrow_wish_weaving	cs
Erb_1865	11	11_little horses_horses_maids_altar	cs
Erb_1866	3	3_saint nicholas_saint_nicholas_holy evening	cs
Erb_1867	0	0_dear_sorrow_wish_weaving	cs
Erb_1868	0	0_dear_sorrow_wish_weaving	cs
Erb_1872	16	16_song praise_cheerful song_sing song_sing	cs
Erb_1873	0	0_dear_sorrow_wish_weaving	cs
Erb_1874	18	18_farmer_rye_oats_horses	cs
Erb_1875	0	0_dear_sorrow_wish_weaving	cs
Erb_1876	18	18_farmer_rye_oats_horses	cs
Erb_1877	14	14_gyeongsang_jeolla_country_blow	cs
Erb_1878	11	11_little horses_horses_maids_altar	cs
Erb_1879	0	0_dear_sorrow_wish_weaving	cs
Erb_1882	11	11_little horses_horses_maids_altar	cs
Erb_1883	18	18_farmer_rye_oats_horses	cs
Erb_1884	9	9_wreath_wreaths_wreath wreath_periwinkle	cs
Erb_1887	18	18_farmer_rye_oats_horses	cs
Erb_1890	18	18_farmer_rye_oats_horses	cs
Erb_1893	18	18_farmer_rye_oats_horses	cs
Erb_1894	11	11_little horses_horses_maids_altar	cs
Erb_1895	0	0_dear_sorrow_wish_weaving	cs
Erb_1896	18	18_farmer_rye_oats_horses	cs
Erb_1897	0	0_dear_sorrow_wish_weaving	cs
Erb_1898	0	0_dear_sorrow_wish_weaving	cs
Erb_1905	13	13_september_thirty_march_summer	cs
Erb_1907	17	17_mocking_squirrel_don laugh_laugh	cs
Erb_1909	0	0_dear_sorrow_wish_weaving	cs
Erb_1910	18	18_farmer_rye_oats_horses	cs
Erb_1915	13	13_september_thirty_march_summer	cs
Erb_1917	0	0_dear_sorrow_wish_weaving	cs
Erb_1918	11	11_little horses_horses_maids_altar	cs
Erb_1924	0	0_dear_sorrow_wish_weaving	cs
Erb_1928	11	11_little horses_horses_maids_altar	cs
Erb_1929	0	0_dear_sorrow_wish_weaving	cs
Erb_1930	0	0_dear_sorrow_wish_weaving	cs
Erb_1931	0	0_dear_sorrow_wish_weaving	cs
Erb_1932	16	16_song praise_cheerful song_sing song_sing	cs
Erb_1934	16	16_song praise_cheerful song_sing song_sing	cs
Erb_1940	0	0_dear_sorrow_wish_weaving	cs
Erb_1942	0	0_dear_sorrow_wish_weaving	cs
Erb_1943	11	11_little horses_horses_maids_altar	cs
Erb_1944	14	14_gyeongsang_jeolla_country_blow	cs
Erb_1945	6	6_poplar_eyebrows_bright_boast	cs
Erb_1946	14	14_gyeongsang_jeolla_country_blow	cs
Erb_1948	18	18_farmer_rye_oats_horses	cs
Erb_1950	0	0_dear_sorrow_wish_weaving	cs
Erb_1951	18	18_farmer_rye_oats_horses	cs
Erb_1952	11	11_little horses_horses_maids_altar	cs
Erb_1955	11	11_little horses_horses_maids_altar	cs
Erb_1957	11	11_little horses_horses_maids_altar	cs
Erb_1958	0	0_dear_sorrow_wish_weaving	cs
Erb_1959	11	11_little horses_horses_maids_altar	cs
Erb_1967	11	11_little horses_horses_maids_altar	cs
Erb_1968	11	11_little horses_horses_maids_altar	cs
Erb_1969	11	11_little horses_horses_maids_altar	cs
Erb_1970	11	11_little horses_horses_maids_altar	cs
Erb_1972	18	18_farmer_rye_oats_horses	cs
Erb_1973	11	11_little horses_horses_maids_altar	cs
Erb_1974	18	18_farmer_rye_oats_horses	cs
Erb_1978	0	0_dear_sorrow_wish_weaving	cs
Erb_1979	0	0_dear_sorrow_wish_weaving	cs
Erb_1980	11	11_little horses_horses_maids_altar	cs
Erb_1981	18	18_farmer_rye_oats_horses	cs
Erb_1982	18	18_farmer_rye_oats_horses	cs
Erb_1984	18	18_farmer_rye_oats_horses	cs
Erb_1987	18	18_farmer_rye_oats_horses	cs
Erb_1988	0	0_dear_sorrow_wish_weaving	cs
Erb_1989	18	18_farmer_rye_oats_horses	cs
Erb_1991	0	0_dear_sorrow_wish_weaving	cs
Erb_1992	18	18_farmer_rye_oats_horses	cs
Erb_1993	14	14_gyeongsang_jeolla_country_blow	cs
Erb_1994	0	0_dear_sorrow_wish_weaving	cs
Erb_1995	0	0_dear_sorrow_wish_weaving	cs
Erb_1997	11	11_little horses_horses_maids_altar	cs
Erb_1999	18	18_farmer_rye_oats_horses	cs
Erb_2003	18	18_farmer_rye_oats_horses	cs
Erb_2004	18	18_farmer_rye_oats_horses	cs
Erb_2005	0	0_dear_sorrow_wish_weaving	cs
Erb_2009	16	16_song praise_cheerful song_sing song_sing	cs
Erb_2013	18	18_farmer_rye_oats_horses	cs
Erb_2016	0	0_dear_sorrow_wish_weaving	cs
Erb_2017	0	0_dear_sorrow_wish_weaving	cs
Erb_2018	0	0_dear_sorrow_wish_weaving	cs
Erb_2020	0	0_dear_sorrow_wish_weaving	cs
Erb_2022	16	16_song praise_cheerful song_sing song_sing	cs
Erb_2023	0	0_dear_sorrow_wish_weaving	cs
Erb_2024	0	0_dear_sorrow_wish_weaving	cs
Erb_2025	0	0_dear_sorrow_wish_weaving	cs
Erb_2026	0	0_dear_sorrow_wish_weaving	cs
Erb_2027	18	18_farmer_rye_oats_horses	cs
Erb_2034	0	0_dear_sorrow_wish_weaving	cs
Erb_2036	18	18_farmer_rye_oats_horses	cs
Erb_2039	11	11_little horses_horses_maids_altar	cs
Erb_2040	0	0_dear_sorrow_wish_weaving	cs
Erb_2041	0	0_dear_sorrow_wish_weaving	cs
Erb_2044	0	0_dear_sorrow_wish_weaving	cs
Erb_2048	11	11_little horses_horses_maids_altar	cs
Erb_2049	0	0_dear_sorrow_wish_weaving	cs
Erb_2051	0	0_dear_sorrow_wish_weaving	cs
Erb_2052	13	13_september_thirty_march_summer	cs
Erb_2054	0	0_dear_sorrow_wish_weaving	cs
Erb_2055	0	0_dear_sorrow_wish_weaving	cs
Erb_2056	11	11_little horses_horses_maids_altar	cs
Erb_2057	11	11_little horses_horses_maids_altar	cs
Erb_2058	13	13_september_thirty_march_summer	cs
Erb_2059	0	0_dear_sorrow_wish_weaving	cs
Erb_2060	0	0_dear_sorrow_wish_weaving	cs
Erb_2061	0	0_dear_sorrow_wish_weaving	cs
Erb_2062	0	0_dear_sorrow_wish_weaving	cs
Erb_2063	11	11_little horses_horses_maids_altar	cs
Erb_2065	11	11_little horses_horses_maids_altar	cs
Erb_2067	0	0_dear_sorrow_wish_weaving	cs
Erb_2068	0	0_dear_sorrow_wish_weaving	cs
Erb_2069	0	0_dear_sorrow_wish_weaving	cs
Erb_2070	18	18_farmer_rye_oats_horses	cs
Erb_2072	0	0_dear_sorrow_wish_weaving	cs
Erb_2074	15	15_slave_goats_ants_feathers	cs
Erb_2075	18	18_farmer_rye_oats_horses	cs
Erb_2077	0	0_dear_sorrow_wish_weaving	cs
Erb_2082	18	18_farmer_rye_oats_horses	cs
Erb_2083	17	17_mocking_squirrel_don laugh_laugh	cs
Erb_2084	0	0_dear_sorrow_wish_weaving	cs
Erb_2086	18	18_farmer_rye_oats_horses	cs
Erb_2088	11	11_little horses_horses_maids_altar	cs
Erb_2089	18	18_farmer_rye_oats_horses	cs
Erb_2090	0	0_dear_sorrow_wish_weaving	cs
Erb_2091	0	0_dear_sorrow_wish_weaving	cs
Erb_2092	0	0_dear_sorrow_wish_weaving	cs
Erb_2093	16	16_song praise_cheerful song_sing song_sing	cs
Erb_2095	0	0_dear_sorrow_wish_weaving	cs
Erb_2097	0	0_dear_sorrow_wish_weaving	cs
Erb_2099	11	11_little horses_horses_maids_altar	cs
Erb_2100	17	17_mocking_squirrel_don laugh_laugh	cs
Erb_2102	15	15_slave_goats_ants_feathers	cs
Erb_2104	15	15_slave_goats_ants_feathers	cs
Erb_2106	18	18_farmer_rye_oats_horses	cs
Erb_2107	0	0_dear_sorrow_wish_weaving	cs
Erb_2108	0	0_dear_sorrow_wish_weaving	cs
Erb_2109	0	0_dear_sorrow_wish_weaving	cs
Erb_2110	11	11_little horses_horses_maids_altar	cs
Erb_2112	0	0_dear_sorrow_wish_weaving	cs
Erb_2113	0	0_dear_sorrow_wish_weaving	cs
Erb_2114	0	0_dear_sorrow_wish_weaving	cs
Erb_2116	0	0_dear_sorrow_wish_weaving	cs
Erb_2117	0	0_dear_sorrow_wish_weaving	cs
Erb_2119	14	14_gyeongsang_jeolla_country_blow	cs
Erb_2120	0	0_dear_sorrow_wish_weaving	cs
Erb_2121	17	17_mocking_squirrel_don laugh_laugh	cs
Erb_2124	18	18_farmer_rye_oats_horses	cs
Erb_2126	0	0_dear_sorrow_wish_weaving	cs
Erb_2127	0	0_dear_sorrow_wish_weaving	cs
Erb_2128	0	0_dear_sorrow_wish_weaving	cs
Erb_2130	0	0_dear_sorrow_wish_weaving	cs
Erb_2131	0	0_dear_sorrow_wish_weaving	cs
Erb_2134	0	0_dear_sorrow_wish_weaving	cs
Erb_2135	0	0_dear_sorrow_wish_weaving	cs
Erb_2137	18	18_farmer_rye_oats_horses	cs
Erb_2138	0	0_dear_sorrow_wish_weaving	cs
Erb_2141	18	18_farmer_rye_oats_horses	cs
Erb_2143	18	18_farmer_rye_oats_horses	cs
Erb_2145	0	0_dear_sorrow_wish_weaving	cs
Erb_2146	18	18_farmer_rye_oats_horses	cs
Erb_2150	16	16_song praise_cheerful song_sing song_sing	cs
Erb_2151	5	5_horses_grazing_maidens_clover	cs
Erb_2153	0	0_dear_sorrow_wish_weaving	cs
Erb_2154	0	0_dear_sorrow_wish_weaving	cs
Erb_2159	14	14_gyeongsang_jeolla_country_blow	cs
Erb_2160	0	0_dear_sorrow_wish_weaving	cs
Erb_2163	0	0_dear_sorrow_wish_weaving	cs
Erb_2166	0	0_dear_sorrow_wish_weaving	cs
Erb_2169	0	0_dear_sorrow_wish_weaving	cs
Erb_2170	0	0_dear_sorrow_wish_weaving	cs
Erb_2171	0	0_dear_sorrow_wish_weaving	cs
Erb_2175	13	13_september_thirty_march_summer	cs
Erb_2177	13	13_september_thirty_march_summer	cs
Erb_2180	9	9_wreath_wreaths_wreath wreath_periwinkle	cs
THB_40	9	9_wreath_wreaths_wreath wreath_periwinkle	cs
THB_100	0	0_dear_sorrow_wish_weaving	cs
THB_101	0	0_dear_sorrow_wish_weaving	cs
THB_102	0	0_dear_sorrow_wish_weaving	cs
THB_103	18	18_farmer_rye_oats_horses	cs
THB_104	0	0_dear_sorrow_wish_weaving	cs
THB_105	13	13_september_thirty_march_summer	cs
h21305000012	18	18_farmer_rye_oats_horses	et
e000151070015	0	0_dear_sorrow_wish_weaving	et
eys0617770000	15	15_slave_goats_ants_feathers	et
eys0617830287	18	18_farmer_rye_oats_horses	et
h21304930008	17	17_mocking_squirrel_don laugh_laugh	et
e000076970008	9	9_wreath_wreaths_wreath wreath_periwinkle	et
eys0807390339	18	18_farmer_rye_oats_horses	et
h21305400049	9	9_wreath_wreaths_wreath wreath_periwinkle	et
e000093390023	10	10_young cossack_cossack_horseback_love young	et
e000099700006	9	9_wreath_wreaths_wreath wreath_periwinkle	et
e000138100007	15	15_slave_goats_ants_feathers	et
eys0910530166	7	7_street_streets_fence_corner	et
