id	assigned_topic	topic_label	label
young_anti_dbnl_1	1492	1492_attractiveness_aesthetics_beauty_aesthetic	anti-marriage
young_anti_dbnl_2	731	731_sake_rice_liquor_brewing	anti-marriage
young_anti_dbnl_3	1756	1756_horse_horses_cavalry_rode	anti-marriage
young_anti_dbnl_4	1711	1711_thirty_seconds_tour_album	anti-marriage
young_anti_dbnl_5	2175	2175_calamity_calamitous_novels_novel	anti-marriage
young_anti_dbnl_6	2102	2102_episodes_airing_episode_ugly	anti-marriage
young_anti_dbnl_7	1086	1086_inscriptions_inscription_epigraphy_taluk	anti-marriage
young_anti_dbnl_8	215	215_emperors_emperor_roman_empire	anti-marriage
young_anti_dbnl_9	714	714_plague_plagues_diseases_epidemics	anti-marriage
young_anti_dbnl_11	1196	1196_diary_diaries_manuscript_frank	anti-marriage
young_anti_dbnl_12	2346	2346_marriages_cohabitation_marriage_heterosexuals	anti-marriage
young_anti_dbnl_13	213	213_showrunner_episode_showrunners_episodes	anti-marriage
young_anti_dbnl_14	1211	1211_sequels_ash_trilogy_evil	anti-marriage
young_anti_dbnl_15	349	349_kiss_toured_concerts_tour	anti-marriage
young_anti_dbnl_16	2060	2060_spaceflight_military_spaceflights_spacecraft	anti-marriage
young_anti_dbnl_17	1337	1337_laurel_hardy_comedies_comedians	anti-marriage
young_anti_dbnl_18	2312	2312_painting_paintings_painter_paint	anti-marriage
young_anti_dbnl_19	1353	1353_cherry_blossom_cherries_blossoms	anti-marriage
young_anti_dbnl_20	2190	2190_wiggle_band_entertainers_concert	anti-marriage
young_anti_dbnl_21	2102	2102_episodes_airing_episode_ugly	anti-marriage
young_anti_dbnl_22	1453	1453_campaigned_politician_governor_long	anti-marriage
young_anti_dbnl_24	1083	1083_tanks_tank_partisan_ideological	anti-marriage
young_anti_dbnl_25	91	91_wickets_batsman_cricketer_wicket	anti-marriage
young_anti_dbnl_26	1492	1492_attractiveness_aesthetics_beauty_aesthetic	anti-marriage
young_anti_dbnl_27	1492	1492_attractiveness_aesthetics_beauty_aesthetic	anti-marriage
young_anti_dbnl_28	1492	1492_attractiveness_aesthetics_beauty_aesthetic	anti-marriage
young_anti_dbnl_29	1756	1756_horse_horses_cavalry_rode	anti-marriage
young_anti_dbnl_30	1363	1363_diamond_diamonds_gemstone_jeweler	anti-marriage
young_anti_dbnl_31	1492	1492_attractiveness_aesthetics_beauty_aesthetic	anti-marriage
young_anti_dbnl_32	1492	1492_attractiveness_aesthetics_beauty_aesthetic	anti-marriage
young_anti_dbnl_33	1492	1492_attractiveness_aesthetics_beauty_aesthetic	anti-marriage
young_anti_dbnl_34	334	334_boulevard_celebrity_fame_celebrities	anti-marriage
young_anti_dbnl_35	1492	1492_attractiveness_aesthetics_beauty_aesthetic	anti-marriage
young_anti_dbnl_36	1492	1492_attractiveness_aesthetics_beauty_aesthetic	anti-marriage
young_anti_dbnl_37	1492	1492_attractiveness_aesthetics_beauty_aesthetic	anti-marriage
young_anti_dbnl_38	1492	1492_attractiveness_aesthetics_beauty_aesthetic	anti-marriage
young_anti_dbnl_39	1492	1492_attractiveness_aesthetics_beauty_aesthetic	anti-marriage
young_anti_dbnl_40	1581	1581_mix_albums_little_remix	anti-marriage
young_anti_dbnl_41	1083	1083_tanks_tank_partisan_ideological	anti-marriage
young_anti_dbnl_43	507	507_eagle_eagles_vultures_hawk	anti-marriage
young_anti_dbnl_44	349	349_kiss_toured_concerts_tour	anti-marriage
young_anti_dbnl_45	540	540_mayor_mayors_mayoral_municipal	anti-marriage
young_anti_dbnl_47	2	2_married_divorced_couple_remarried	anti-marriage
young_anti_dbnl_49	312	312_song_songs_singles_singer	anti-marriage
young_anti_txt_0	1634	1634_novels_literature_fiction_writings	anti-marriage
young_anti_txt_1	1901	1901_sat_exams_exam_admissions	anti-marriage
young_anti_txt_2	1323	1323_sheikh_prince_sultan_heir	anti-marriage
young_birthday_dbnl_0	1675	1675_birthdays_birthday_probability_anniversaries	birthday
young_birthday_dbnl_1	335	335_trilogy_remastered_gods_editions	birthday
young_birthday_dbnl_2	1475	1475_indigenous_spirit_spirits_natives	birthday
young_birthday_dbnl_3	2322	2322_moon_drummer_drums_drummers	birthday
young_birthday_dbnl_4	2312	2312_painting_paintings_painter_paint	birthday
young_birthday_dbnl_5	2129	2129_fish_cannibalism_tortured_murders	birthday
young_birthday_dbnl_6	692	692_metal_gear_consoles_sequels	birthday
young_birthday_dbnl_10	31	31_caesar_augustus_roman_consul	birthday
young_birthday_dbnl_12	2333	2333_bob_hope_honorary_biography	birthday
young_birthday_dbnl_13	1083	1083_tanks_tank_partisan_ideological	birthday
young_birthday_dbnl_15	306	306_medals_medal_commendation_gallantry	birthday
young_birthday_dbnl_16	1675	1675_birthdays_birthday_probability_anniversaries	birthday
young_birthday_dbnl_17	2163	2163_sausage_sausages_bun_chili	birthday
young_birthday_dbnl_18	1597	1597_brewery_beers_breweries_tents	birthday
young_birthday_dbnl_19	108	108_swift_songwriting_songwriter_songwriters	birthday
young_birthday_dbnl_20	2092	2092_bacon_pork_vegetarian_meat	birthday
young_birthday_dbnl_21	1675	1675_birthdays_birthday_probability_anniversaries	birthday
young_birthday_dbnl_22	349	349_kiss_toured_concerts_tour	birthday
