Topic,Count,Name,Representation,Representative_Docs
-1,1571,-1_wreath_beloved_leave_maiden,"['wreath', 'beloved', 'leave', 'maiden', 'garden', 'beautiful', 'village', 'don want', 'lord', 'care']","['1. The earth trembles, the world rejoices, the false world rejoices, the mother commands her son, oh, oh, you must not go there.  \r\n2. Dear little bird, if you are sincere, right after dinner, step outside the door for a moment, I will tell you something.  \r\n3. The next day the lover went out, she did not hear a thing, not even the click of a nail, she remained sad.  \r\n4. On the third day letters went out that my dear is gravely ill and no one can help him except his beloved.  \r\n5. She went for medicine to the apothecary, brought him as many medicines as there are flowers in our grove, but they were of no use.  \r\n6. On the fourth day they carry the body out, six handsome young men, each leading his bride, holding a candle in their hand.  \r\n7. And behind them walks his beloved carrying a beautiful wreath, her heart trembles for it, she cries and laments.  \r\n8. And you parents, what do you get from this? You armed against your son that I have no fortune, your son died.', '1. The road to Zlosejn is long, I will look at it, if my Pepíček is there, I will call him. My dear Pepíček, escort me for a mile, escort me for two miles, and I will escort you for four.\r\n\r\n2. What did I do to you, my Pepíček, that you are so angry with me, slandering me among people? It can easily happen that we part ways, since I don’t have to, my Nanynka, I don’t have to visit you.\r\n\r\n3. Nanynka went for a walk, Pepíček stood by the window, called to his lady-mother to come to him for a moment. Dear lady-mother, you are the cause of how my heart aches when I see her standing with another.\r\n\r\n4. Send me for a painter, I will have her painted, when my heart aches, I will look at her. The painter does not want to come to me, I must leave this world, because of one woman I have to waste my life.\r\n\r\n5. Half a year after the funeral, Nanynka got married, and when the wedding was over, she went to the cemetery, cried. Go away from my grave, go to your husband, and I will sleep in the grave until the Judgement Day.', ""1. That is Tříško's sowing, it is nice and green, there stands Pepíček, a handsome young man, in the green rosemary.  \r\n2. Go to him, my dear, ask him what he is doing. His little head hurts, beautiful Pepíček, he needs a doctor.  \r\n3. Two doctors came, they immediately saw his problem: If you had a girl for a short while, you would be cured.  \r\n4. Milka, when she heard this, immediately ran to him, took his hand, gave him a kiss, and so she healed him.  \r\n5. Don’t leave, my dear, stay here until morning, we will sleep together and love each other until the white morning.  \r\n6. If you want to sleep together, you must get married. In the Libeň rectory, the priest will bind your hands, then you can sleep together.  \r\n7. When they bound our hands, people did not wish us well, that we would be our own, sincere spouses until our end.""]"
0,779,0_beloved_maiden_wreath_song,"['beloved', 'maiden', 'wreath', 'song', 'beautiful', 'stay', 'love', 'crying', 'leave', 'garden']","['1. I shed tears for you, that you do not love me, I carry sorrow in my heart that you are distancing yourself from me.  \r\n2. The sun has stopped shining, your love has ceased, I must not ask for your hand, it is already promised to another.  \r\n3. The days have passed, those I longed for, gone are the beautiful dreams in which I found bliss.  \r\n4. Oh, away and away with everything, away is my hope, now I weep like a child, what good will it do me?  \r\n5. You are not moved, your heart is stone, it drives me to despair, it torments my heart.  \r\n6. If only you knew a little of the pain in my heart, surely you would forever banish your cruelty.  \r\n7. But you constantly seek a reason to part, and you won’t even see me to my grief.  \r\n8. No one loved you as faithfully as I did, you were my heaven, this I saw myself.  \r\n9. I thought of you by day, also by night, I sought help from you in my suffering.  \r\n10. So farewell now, remember me too, I say for the last time that my promise was not a lie.  \r\n11. Be happy in this world, enjoy your joys, if happiness blooms for you, I am without sorrow.', '1. A little tree blooms in the field, a little tree and under the little tree a little grave, a little grave, in which lies a young soldier.  \r\n2. Birds fly to him and sit on the branches, singing to their beloved.  \r\n3. The beloved at home cried and waited for her beloved and waited for her beloved.  \r\n4. When she could not wait any longer, she ran out into the dark night and called to her beloved.  \r\n5. Return to me, my dear, come back, sincere heart, wherever you are, my dear.  \r\n6. The little horse trots along the road, the beloved returns to the bride, the beloved returns to the bride.  \r\n7. Knock, knock on the window: Are you sleeping, my dear maiden? Open your little window!  \r\n8. Oh, I am not sleeping, not sleeping, my dear, for I have been waiting for you all this time, for I have been waiting for you all this time.  \r\n9. The beloved opens the door, embraces her beloved, embraces her beloved.  \r\n10. Where did you put the gold ring, which had a precious stone in it, which had a precious stone in it?  \r\n11. I hid the ring in the ground, when I was fighting, my dear, when I was fighting, my dear.  \r\n12. Where did you put the handkerchief, my dear, which my hands embroidered, decorated with little flowers?  \r\n13. The handkerchief tore apart, when I was fighting in Russia, the wind blew it away in the field.  \r\n14. If you are a sincere girl, sit with me on the horse, we will go home together.  \r\n15. Where is your home, my dear? There is my home built, far away in Russian land.  \r\n16. They rode out into the dark night, the horse’s hooves rang, until they arrived at the cemetery.  \r\n17. What is that, my dear, an enclosure? That is my garden, my green garden.  \r\n18. What are those crosses, my dear? Those are my green trees, those are my green trees.  \r\n19. What grave is opening? That is my home, my dear, that is my home, my dear.  \r\n20. If you are sincere to me, come inside with me, my dear, come inside with me, my dear.  \r\n21. Why wouldn’t I be sincere, since I waited for you, since I stayed faithful to you?  \r\n22. And when they entered the grave, the stones fell down, covering the two lovers.  \r\n23. The organ played in the church, the bells rang in the tower, thus they celebrated their wedding together.', ""1. What a shame a hundred times over for our little garden, I had a bed of marigolds sown there. Tradydata tratata tradydata tratata, a bed of marigolds, tradydata dá.  \r\n2. I am drawn to green, blue angers me because my darling walks with others.  \r\n3. Yesterday he promised me that today he would come to me, so I should wait for him until the moon rises.  \r\n4. If I were not afraid, Nanynka, of your betrayal, I would come to you in your garden.  \r\n5. But since I am afraid that you would betray me, that my little pouch would not last a year.  \r\n6. Don’t be afraid, Honzík, that I would betray you, I will cover the little window with a red scarf.  \r\n7. I will cover the little window, I will wait for you, I will pour a little beer, I will love you.  \r\n8. I kept waiting and my dear does not come, perhaps he loves a maiden somewhere else.  \r\n9. Gentle breeze, carry him my greetings, I am weaving him a wreath made of rosemary.  \r\n10. In our garden I was weaving a wreath, my dear Honzík came to the little window.  \r\n11. The lark sings, the sun is already shining, it is time, my dear, I must go home.  \r\n12. If you love me, come with me to the little grove, come and see me off through the lord's little woods.  \r\n13. She only saw me off a little way, gave me a nice few kisses for the road. It was a dance song. According to the print by S. Pospíšil in Chrudim from 1861. A new song for young men and maidens.""]"
1,158,1_farmer_plowing_sheep_peasant,"['farmer', 'plowing', 'sheep', 'peasant', 'plow', 'feast', 'horses', 'barn', 'forest', 'horse']","[""Otherwise, there is no celebration: the peasant women shine like gold, the young men shout in the pub: let's go there, let's find out what it means, we'll see. In the past, the farmer was poor: when he sold grain at the market, he asked where they were distilling spirits; with rice poison for the hen, he put a cap aside for himself. Now the farmer, a proud lad, calls out: Pour me some good must, for today I earned enough rags: pour a little, serve me, townsmen and farmers!"", ""In the forest, a wolf, sheep in the pasture, and a farmer. Farmer: Sheep, sheep! Come home. Sheep: We can't. Farmer: Why not? Sheep: Because of the wolf. Farmer: Where is the wolf? Sheep: In the forest, carrying a black sheep. Then the wolf runs out and catches one sheep for himself."", '1. The farmer is mowing in the meadow, his scythe does not want to cut, and he looks back, raising his eyes to the sky to see how high the sun is.  \r\n2. The sun is at noon, my dear, escort me, escort me across the village, and I will escort you through the forest, then we will part ways.  \r\n3. When she went out on the path, she sang that little song, she sang hahaha, I have already won, my golden huntsman.  \r\n4. The huntsman killed a jay, put it in his hat, it scratched itself until it scratched its way into the green grove.  \r\n5. There it perched on a little branch, sang that little song, sang hahaha, I have already won, my golden huntsman.']"
2,120,2_maiden_marry_old woman_woman,"['maiden', 'marry', 'old woman', 'woman', 'married', 'wreath', 'women', 'beloved', 'old', 'madam']","['Above the little hill, below the little hill, there stand two maidens: I greeted them, but they did not thank me. I took one by the hand, and the other by both hands: Look, my maiden, look at me. ""I will not look at you, I am angry with you: you took away my wreath, which I still do not have. The wreath, green, woven from rosemary, which I gladly gave you because you were my joy."" What will you wish me, my maiden, what will you wish me, when I walk with another girl on walks? ""I wish you so much bad luck that you won\'t live long, and when you ride on your little horse, may you break your head!""', 'My dear little mother! I am going to get married, I have a nice girl, I will go for her. ""My golden little wheel, 1) you intend to get married? You will regret it, you do not know what you are doing! Just wait and see what will come your way: when you have to pay the old woman and the priest. You will give the old woman two gold coins, the priest a ducat: you won’t be stomping in the pub, little Honzík!""', 'When I was walking a week ago from the feast, I met a maiden I did not know: she was pretty, nicely pale; she had little red apples in her hands. I was a foolish boy, I took the apples, they were good; as soon as I ate them, I immediately went pale: return to me, my dear, my beauty now. “I would return your beauty to you, if the dove had not flown away with it; it flew away into the grove: may the Lord protect you, my lad!” I told you these words: that you do not want just one, that you want both; you cannot want more than one: either leave me, maiden, or him!']"
3,76,3_beer_drink_drank_praise,"['beer', 'drink', 'drank', 'praise', 'bless', 'lord', 'hardship', 'foolish', 'lord god', 'best']","[""A drunk man. What is happening to me, no one wishes me well; they point their fingers at me, they consider me a drunkard: as if I were not worthy to be a little merry and drank away my money! If I drank away, say, a ducat, the landlady would not be angry; the landlord does not quarrel with me, he pours me beer: as if I were not worthy, etc. Come on, gentlemen musicians! play cheerfully for me; play, trumpet in all directions, and cheer me up: as if I were, etc. A head full of merriment, not a penny in my pocket; if my wife has any money, I take it all from her: as if I were, etc. Yesterday I went to the pub, she was running after me; as soon as I had a half-liter of beer, she attacked me: as if I were, etc. She always blames me – believe me, on my word – that my coat is full of patches, my trousers full of holes: as if I were, etc. Oh, my dear little wife! just don't be angry with me, rather earn me some money for a beer: as if I were not worthy to be a little merry and drink some beer!"", 'It is hard to suffer thirst, dear brothers! Beer is good, it refreshes the veins, as we have them, here we sing: We won’t go home until morning, until the bed is made; we won’t go home until morning, until it is day. The draft beer tastily tastes after the draft, everyone drinks, it is like a fountain, it raises glasses, nicely singing: We won’t go home, etc. The wife runs in: ""Husband, come home!"" The bartender welcomes her, leads her to the table: ""Only the master drinks the draft, your husband!"" We won’t go home, etc. The woman begins to sing a song without notes: ""You will drink away your coat, pants for the last time! You don’t care about dust, you only sing: We won’t go home, etc. Beer foams nicely in the glass; everyone has their head full of sense: glory to the brewer, and also to the lad! We won’t go home, etc.', ""A most glorious day has come to us, on which everyone is to be joyful, whoever has anywhere to begin, even if only for a whole week. We have nowhere to begin, we must go caroling to you, dear, esteemed gentlemen, may God grant you success! To your wife, your children, and your household: may the Lord bless you in your work. Give us a thaler or a ducat, we will remember you, for all time our group will praise you. If you lessen it for us, and give some gold: give it only willingly; we will gladly accept it from you as thanks, and we will buy wine for our coats, we will season it with spirits, and line it with bitters. We have long asked for this, that we might meet with you; united together, let us hold a celebration! We will be merry together, we will toast each other: wine, beer, and spirits for each other's health. Then we will part from you, and all go home again to our work, hardworking brewers. And you, boy, sweep, gather the grain into a pile! You know we like to drink, and do not waste. It was the last day of the year 1840. In the New Town of Prague, in a freight house, we sat down to dinner: the host, the brewer, an honest Old Czech, at the head, and the rest of us in two rows along the whole length of the hall up to the doors. Then a song sounded outside: “A most glorious day has come to us,” the doors opened and the brewing youth entered the room singing, each carrying something: the deputy elder a rod, the herd a sack, two water carriers a sprinkler and incense borrowed from the church, sprinkling and incensing, each brewer and maltster a shovel, and the boys brooms. Standing half-circle by the door they sang further. And when the words of the last stanza came: “And you, boy, sweep,” the host threw a hard thaler to the ground, the herd set the sack and the boy drove the thaler into it with his broom. Then the deputy elder wished the host and his whole family a “happy new year,” thanked them for the gift, and then, all bowing, they left again.""]"
4,43,4_sunday_saint_day_spring,"['sunday', 'saint', 'day', 'spring', 'day night', 'night', 'year', 'winter', 'week', 'morning']","[""18th October. On Saint Luke's day, abundance of bread and porridge."", ""June 15. On Saint Vitus's Day, it dawns all night."", ""March 12. On Saint Gregory's Day, children chant: Today is Saint Gregory's day, a swallow flew across the sea: a foolish peasant who does not plow!""]"
5,35,5_shoes_feet_wear_trousers,"['shoes', 'feet', 'wear', 'trousers', 'door', 'tailor', 'sew', 'peasant', 'walk', 'rejoice']","['A boot climbs through the window, the shoemaker calls to it: ""Come here! If you have something torn, I\'ll sew it with thread."" Kramflek\'s awl was at work: it jumped onto the spindle, broke the stick. That round stone jumped into the stones, from the stones onto the shelf – now it\'s all over.', ""1. The shoemaker is hanging from a pea stalk on Lysý, it quickly spread throughout the whole village. [chorus] And you dirty little shoemaker, not even the devil wants you in hell, and you dirty little shoemaker, as if you had bad luck.  \r\n2. The shoemaker's wife ran to the priest to have him bury what the people lie about.  \r\n3. The priest says: That cannot be, he must only be buried beyond the wall.  \r\n4. The shoemaker's wife ran immediately like crazy, that the shoemaker's soul will go to hell.  \r\n5. The eldest journeyman grabbed the bellrope, rang the master's sad hour.  \r\n6. The shoemaker comes to hell, the devil told him he does not want to have bad luck, only that he should go on.  \r\n7. The shoemaker comes to heaven, Saint Peter says: You cannot enter heaven, you would scare God.  \r\n8. Oh, what a poor soul I am, where should I go now, I must go back to earth to frighten people."", 'A pear tree stands in the wide field with green leaves, rejho-rej, ritum-rej, with green leaves. Beneath it stands my maiden with red cheeks, rejho-rej, ritum-rej, with red cheeks. Her beloved passed by: Greetings, God bless you, girl! rejho-rej, ritum-rej, greetings, God bless you, girl! She thanked him: “May God give it to you, shoemaker! rejho-rej, ritum-rej, may God give it to you, shoemaker!” If I am a shoemaker, then you will have a shoemaker as your husband, rejho-rej, ritum-rej, you will have a husband. “First, you must sew me shoes from mosquito skin, rejho-rej, ritum-rej, from mosquito skin.” You must sew me a shirt without thread, without a needle, rejho-rej, ritum-rej, without thread, without a needle. “You must build me a castle on a cabbage stalk, rejho-rej, ritum-rej, on a cabbage stalk.” The stalk will wither, the castle will fall, and you must be mine, rejho-rej, ritum-rej, until the longest death.']"
6,22,6_crying_scarf_money_daughter,"['crying', 'scarf', 'money', 'daughter', 'little kiss', 'words', 'horses', 'angry', 'golden', 'dance']","['1. Our Káča is crying, what’s wrong with her? Thieves stole her blouse. 2. They also stole her clogs so she wouldn’t walk with the boys. 3. They also stole her shoes so she wouldn’t go to the music. 4. They also stole her petticoat so she wouldn’t come to you, Pepíček.', ""I always cry for money when I remember Káča – what I had to pay for her when I wanted to marry her. For she was on someone else's estate; the lord allowed me to have her: whoever wants to have Káča as a wife must pay well."", 'Kuca-Baba. A game played in winter in a spacious room. The one who is last during counting becomes Kuca-Baba: one person ties a scarf over their eyes, then two others take them by the hands and, leading them around, ask: Kuca-Baba, where are we taking you? ""To the corner."" What is in that corner? ""A rooster."" What is in that rooster? ""A golden ball."" What is in that ball? ""A golden needle."" What is in that needle? ""A golden thread."" Then catch us, Kuca-Baba! Or also: Where are you going, grandma? ""To the corner."" What is in that corner? ""A rooster."" What more? ""An old shoe."" What is in that shoe? ""A golden apple."" There you have it, grandma! 1) At the last words, one of them lightly taps Kuca-Baba on the back, and leaving her standing in the middle of the room, they all run off to the corners. Kuca-Baba gropes around to catch someone, while the others give signals: if she is far from those hiding, they call out: ""All water! all water!"" If she approaches someone, the others shout: ""Fire! fire!"" In the same way, they signal if Kuca-Baba could do some harm or injure herself: ""Fire"" for example ""window"" – ""shelf"" etc. Whoever she catches must become Kuca-Baba instead of her. 1) This rhyme ends with: Do you like porridge? Go get a spoon!']"
7,13,7_rye_barley_saint_wheat,"['rye', 'barley', 'saint', 'wheat', 'grain', 'praise', 'leaves', 'spring', 'barn', 'night']","['And you, Saint Markyta! watch over our rye, and all the grain that God grants us.', 'St. John the Baptist. On the night before St. John, girls pick the down from spring rye, i.e., rye leaves, and tie them from memory in their lap, saying: Great God! Saint John! I humbly ask you to reveal to me yourself whom I will marry.', 'Saint Margaret! Give us good grain for wheat and rye, so that we have something to live on and to bring into the barn. Also: let the ears be large, so that we may come again after a year.']"
8,12,8_coat_dress_wear_peasant,"['coat', 'dress', 'wear', 'peasant', 'carrying', 'shirt', 'carry', 'sew', 'farmer', 'hat']","['If I were the son of a farmer, how well I would carry myself: but since I am a cottager’s son, I wear a coat without buttons.', 'At White Mountain, a peasant plows, he has a pretty daughter, give her to me, God! Hey, coats, coats, give her to me, God! Hey coats, coats, coat. If I got her, how I would boast: I would boast three hundred thalers with her! Hey coats, coats, etc. A beautiful wife, three hundred thalers: I would have her carried in a covered carriage; hey coats, coats, etc. Footmen in front, footmen behind her; I would have her called: a noble lady! Hey coats, coats, a noble lady! Hey coats, coats, coat!', ""I am a poor lad, I have a few little shirts: my sweetheart is ashamed of me because she always sees me in the same ones. Don't be ashamed of me, girl, I will buy some tomorrow: two thin ones, two thick ones, but God won’t abandon us. Even if I am without a cap, as long as I have a pretty girl; even if I am without a hat, as long as I have a lovely girl. I am a man dressed, my coat turned inside out five times: take me or leave me, I have only one coat. If I were the son of a farmer, I would dress nicely, but since I am the son of smallholders, I wear a coat without buttons.""]"
