id,assigned_topic,topic_label,top_topic_prob
HPod_1,1863,1863_rap_rock_album_band,0.21510726
HPod_4,1492,1492_attractiveness_aesthetics_beauty_aesthetic,0.13707013
HPod_9,1403,1403_poverty_deprivation_poor_welfare,0.12130182
HPod_11,741,741_airing_adult_swim_aqua,0.11536018
HPod_12,159,159_windows_vista_os_pc,0.10837201
HPod_13,1862,1862_quixotic_literature_chivalric_novel,0.11431563
HPod_15,2222,2222_retailer_store_sales_shop,0.1797298
HPod_16,349,349_kiss_toured_concerts_tour,0.48995382
HPod_18,1083,1083_tanks_tank_partisan_ideological,0.61515063
HPod_19,992,992_linden_lab_copyright_token,0.15570414
HPod_21,1877,1877_zombie_walkers_zombies_walking,0.1197149
HPod_22,474,474_lightning_thunderstorm_thunderstorms_storms,0.11914447
HPod_23,1863,1863_rap_rock_album_band,0.19581173
HPod_24,2242,2242_biblical_testament_mythological_epistle,0.09479758
HPod_27,1901,1901_sat_exams_exam_admissions,0.086446516
HPod_28,1492,1492_attractiveness_aesthetics_beauty_aesthetic,0.22015575
HPod_30,1450,1450_newspapers_newspaper_periodicals_gazette,0.07134332
HPod_31,1403,1403_poverty_deprivation_poor_welfare,0.1383576
HPod_32,1877,1877_zombie_walkers_zombies_walking,0.11515676
HPod_33,372,372_rose_roses_frontman_revolver,0.13161677
HPod_34,1862,1862_quixotic_literature_chivalric_novel,0.15135472
HPod_37,1872,1872_tsar_1812_armies_casualties,0.3707421
HPod_41,335,335_trilogy_remastered_gods_editions,0.17673425
HPod_42,1446,1446_happiness_wellbeing_unhappiness_happier,0.08566687
HPod_43,349,349_kiss_toured_concerts_tour,0.30196574
HPod_44,52,52_vogue_magazine_glamour_magazines,0.089836314
HPod_45,790,790_degree_bachelor_diploma_qualification,0.10124595
HPod_46,1863,1863_rap_rock_album_band,0.13028912
HPod_48,1597,1597_brewery_beers_breweries_tents,0.21938875
HPod_49,640,640_defamation_lawsuit_sued_libel,0.34924924
HPod_50,1448,1448_airplay_tv_apple_televisions,0.12818834
HPod_51,1770,1770_bugs_insects_insecticides_pest,0.053970795
HPod_52,1862,1862_quixotic_literature_chivalric_novel,0.16377434
HPod_53,1243,1243_heterochromia_pigmentation_pigment_pigments,0.35409603
HPod_54,1388,1388_rapper_tribe_rap_tip,0.3560331
HPod_55,1659,1659_tower_towers_fortification_moat,0.2112705
HPod_56,1409,1409_missionaries_charity_nuns_orphanages,0.17780735
HPod_57,1353,1353_cherry_blossom_cherries_blossoms,0.45783108
HPod_58,790,790_degree_bachelor_diploma_qualification,0.20852378
HPod_59,2222,2222_retailer_store_sales_shop,0.2992201
HPod_60,1492,1492_attractiveness_aesthetics_beauty_aesthetic,0.16520299
HPod_65,2318,2318_memories_memory_recall_psychology,0.093652636
HPod_67,2322,2322_moon_drummer_drums_drummers,0.12217884
HPod_70,2322,2322_moon_drummer_drums_drummers,0.09726636
HPod_71,2367,2367_critical_thinking_reasoned_reflective,0.09411785
HPod_72,1863,1863_rap_rock_album_band,0.12980616
HPod_75,790,790_degree_bachelor_diploma_qualification,0.16479766
HPod_77,349,349_kiss_toured_concerts_tour,0.18772845
HPod_78,938,938_ford_presidency_presidential_presidents,0.084644906
HPod_82,775,775_seo_searches_webmaster_webmasters,0.1551164
HPod_84,171,171_mountains_mountain_plains_topography,0.26801956
HPod_85,967,967_forested_vegetation_conifers_forests,0.076866925
HPod_86,2053,2053_concert_concerts_tour_theater,0.11082067
HPod_87,2090,2090_rose_autobiography_quotes_writing,0.3616501
HPod_88,171,171_mountains_mountain_plains_topography,0.17869116
HPod_89,1132,1132_burning_burners_organizers_attendees,0.18801418
HPod_94,938,938_ford_presidency_presidential_presidents,0.18520892
HPod_95,1022,1022_doll_dolls_toy_brand,0.4568647
HPod_97,147,147_cardiovascular_cardiomyopathy_cardiac_hypertension,0.28015602
HPod_98,171,171_mountains_mountain_plains_topography,0.10613695
HPod_99,1581,1581_mix_albums_little_remix,0.37693757
HPod_100,1243,1243_heterochromia_pigmentation_pigment_pigments,0.13879554
HPod_101,1862,1862_quixotic_literature_chivalric_novel,0.24891193
HPod_102,372,372_rose_roses_frontman_revolver,0.35822362
HPod_107,956,956_patients_inpatients_physicians_physician,0.09670224
HPod_108,1862,1862_quixotic_literature_chivalric_novel,0.25958598
HPod_110,2284,2284_tennis_tournaments_tournament_finalist,0.061684847
HPod_112,1477,1477_smartwatch_watches_smartwatches_apple,0.1628009
HPod_115,2190,2190_wiggle_band_entertainers_concert,0.44615677
HPod_116,334,334_boulevard_celebrity_fame_celebrities,0.16343538
HPod_118,334,334_boulevard_celebrity_fame_celebrities,0.10752106
HPod_122,1863,1863_rap_rock_album_band,0.11567295
HPod_123,1559,1559_rockabilly_chorus_songwriter_singing,0.6303899
HPod_125,2284,2284_tennis_tournaments_tournament_finalist,0.05909806
HPod_126,1100,1100_hill_silent_sequel_remake,0.18721834
HPod_127,2172,2172_home_sequels_sequel_screenplays,0.40337816
HPod_128,1591,1591_musician_songs_singers_album,1.0
HPod_129,551,551_dances_dance_dancers_traditional,0.13369498
HPod_130,1862,1862_quixotic_literature_chivalric_novel,0.091486044
HPod_131,2145,2145_wastes_waste_disposal_recycling,0.076377995
HPod_132,64,64_rating_rated_cinematography_film,0.23175834
HPod_133,1915,1915_fate_fates_doctor_doctorate,0.057799894
HPod_134,1353,1353_cherry_blossom_cherries_blossoms,0.14069574
HPod_135,1863,1863_rap_rock_album_band,0.09564078
HPod_136,334,334_boulevard_celebrity_fame_celebrities,0.07113776
HPod_141,1863,1863_rap_rock_album_band,0.11679168
HPod_143,107,107_anthrax_slayer_thrash_bands,0.09262988
HPod_148,2154,2154_studios_lions_acquisitions_paramount,0.11673439
HPod_149,1550,1550_dew_cola_flavors_soda,0.061279528
HPod_150,1581,1581_mix_albums_little_remix,0.3296677
HPod_151,2282,2282_rosemary_lobotomy_nuns_lobotomized,0.18820311
HPod_155,1243,1243_heterochromia_pigmentation_pigment_pigments,0.22336105
HPod_156,372,372_rose_roses_frontman_revolver,0.12682402
HPod_159,231,231_bighorn_1876_bull_elk,0.07890038
HPod_160,1901,1901_sat_exams_exam_admissions,0.22740074
HPod_162,1246,1246_crusade_crusaders_crusader_1179,0.29689857
HPod_163,790,790_degree_bachelor_diploma_qualification,0.09851875
HPod_166,415,415_deforestation_reforestation_forestry_forests,0.059440102
HPod_167,2322,2322_moon_drummer_drums_drummers,0.0874672
HPod_168,512,512_women_comfort_geisha_grandmothers,0.3426574
HPod_169,417,417_pharaoh_prophets_prophet_messiah,0.10048294
HPod_170,107,107_anthrax_slayer_thrash_bands,0.31829503
HPod_171,770,770_judicial_justices_judiciary_courts,0.15812935
HPod_174,107,107_anthrax_slayer_thrash_bands,0.111675955
HPod_176,1863,1863_rap_rock_album_band,0.16013448
HPod_177,1901,1901_sat_exams_exam_admissions,0.091405325
HPod_183,1756,1756_horse_horses_cavalry_rode,0.088927075
HPod_185,1955,1955_dams_canyon_boulder_dam,0.05534474
HPod_187,1018,1018_ninja_ninjas_anime_kai,0.22666995
HPod_188,1267,1267_doomsday_sequel_gameplay_multiplayer,0.3992403
HPod_189,22,22_climates_climate_weather_temperatures,0.13884741
HPod_190,2322,2322_moon_drummer_drums_drummers,0.17588195
HPod_191,1513,1513_redheads_redhead_reddish_ginger,0.32615584
HPod_192,1246,1246_crusade_crusaders_crusader_1179,0.20713286
HPod_194,1492,1492_attractiveness_aesthetics_beauty_aesthetic,0.12986064
HPod_195,2182,2182_rebounds_warriors_curry_assists,0.34194225
HPod_196,213,213_showrunner_episode_showrunners_episodes,0.31446412
HPod_197,297,297_copyright_copyrights_copyrighted_royalties,0.1545127
HPod_199,2154,2154_studios_lions_acquisitions_paramount,0.04288955
HPod_203,2129,2129_fish_cannibalism_tortured_murders,0.18785578
HPod_204,2038,2038_ron_character_villains_sidekick,0.20309621
HPod_205,2053,2053_concert_concerts_tour_theater,0.12661232
HPod_206,1606,1606_ibn_folktales_tales_literature,0.2483578
HPod_208,2318,2318_memories_memory_recall_psychology,0.20877819
HPod_209,992,992_linden_lab_copyright_token,0.28540576
HPod_211,350,350_holiday_celebrates_holidays_celebrated,0.07362514
HPod_212,335,335_trilogy_remastered_gods_editions,0.12270935
HPod_214,349,349_kiss_toured_concerts_tour,0.75078106
HPod_222,839,839_fastest_racing_mph_speed,0.15392318
HPod_225,449,449_ku_confederate_activists_1868,0.3364752
HPod_226,790,790_degree_bachelor_diploma_qualification,0.37739986
