Topic,Count,Name,Representation,Representative_Docs
-1,1740,-1_wreath_garden_love_daughter,"['wreath', 'garden', 'love', 'daughter', 'maiden', 'horse', 'shall', 'song', 'golden', 'beautiful']","['Under our windows, blackberries are growing: tell me, Ančička, my golden little heart! Who was there today? ""Josífek was there, standing under the window."" – Tell me, Ančička, my golden little heart: what did he ask you? ""He called, he knocked on the window: Open up, don’t slumber, open up, don’t slumber, my kiss! And I would gladly open for you: if my little head didn’t ache because of my little boy. But it doesn’t hurt you as much as you act: that you have someone else there, my kiss, my golden little heart! Who would I have here? I am here alone: only the lady lies here with me in the little bed by the door.""', 'Beautiful little stars, how small you are! How you comforted me those whole nights! One of you the most, the bright morning star: she always used to lead me to my dear little darling. Moon in the clouds, how high you are! How far my dear little darling is from me! My dear daddy always used to tell me that I would enjoy a commission sandwich. My dear little mother always used to tell me that one day I would like the water from the pond. My dear little brother always used to tell me that the black horse would suit me well. My dear little sister always used to tell me that the little saber by my side would look good on me. My dear friends always used to tell me that one day the enemy in the field would kill me too. I will go to the field, and in bloody battle once again I will remember my little darling. They dug a little grave in that green grove: once again greet my dear little darling for me. Farewell now, my joy! Don’t cry, don’t whine, don’t lament, rather pray.', 'That little church in Sebranice, surrounded by a dark forest: I will look once more to see if I can spot whether my beloved is coming by. Ah, my beloved is coming, riding that black horse, fastening a little saber to his left side. After fastening the saber, he stood in front of his house; he wept and grieved until the horse cried out beneath him. Ah, my dear mother! Do you not recognize me, that you let me and my horse stand so long in front of our house? When mother heard this, she ran out into the street: ""Welcome, my son! Who sent you to the army, who caused this?"" Our lord of Sebranice made me join the army: they took me to the army, tied me with ropes, and set a guard over me. And that guard stood by me from evening till morning; and as God gave the day, as God gave the day, they took me to Brno. When they brought me to Brno, they stopped at the gate: ""Open the gates, we bring you a recruit, a subject of Sebranice."" Ah, my dear mother! I beg you sincerely, do not harm and do not hurt my young wife. If God grants her a son or a fair daughter this year, I will send her from the army an embroidered pillow, embroidered pillow and a pink cradle cover: here you have it as a memento, my precious dear, that I loved you.']"
0,498,0_loved_loves_maiden_dearest,"['loved', 'loves', 'maiden', 'dearest', 'love', 'rose', 'darling', 'maidens', 'wreath', 'farewell']","['A white rose has grown for me, I will not pluck it: I loved Vojtíšek, I will love no more. I loved him faithfully, I carried him in my heart; I did not expect that love would deceive me. My beloved was walking down the street, wearing a hat tilted to the side; people told him: There you see your maiden. ""Do not speak to me, people, about her, I cannot look at her; as soon as I see her with one eye, I immediately lower my head."" If you could not look at me, why did you come to me? I did not ask you to love me. You had the door open to a sincere heart: but now it is closed, you will not enter it anymore! What did I do to you that you now hate me? I am the same as I was, so why are you ashamed of me? Is this now what I get for the sincerity I had for you; for you, dearest, I would have bled! Remember, dearest! your promises: that the Lord God would punish you, that He would not bless you. Remember, dearest! my young years: years I lost with you – there is a sentence after joy! I would have taken a livelihood, yet I did not give it to myself: eternity greater than the whole world, that is what I feared.', '1. Oh, if only I could hear your sighs, what great love existed between us. That love, it is gone, it will never return, he who loves at night is the most deceitful.  \r\n2. I have something nice here, in your memory, I have a gold ring, from your estate. You gave it to me when you loved me, as a sign of our love, because you liked me.  \r\n3. Oh, remember those words when you promised me, under the wide, open sky when you loved me. You spoke to me sweetly, but it was with poison, I deceived many of them, but you deceived me alone.  \r\n4. Oh, where is the green wreath, where is my purity? Perhaps some black crows have carried it away into the world. The wreath jumps in the world, the heart cries in the body, oh wait, you deceiver, revenge will not miss you.  \r\n5. Oh, where is that dark night, if it could speak, it would tell us where it saw us standing. The dark night is gone, it will not return, he who loves at night is the most deceitful.  \r\n6. The nightingale is a small bird, it hops under the little tree, mine, the dearest of all, weeps on the little bed. For the green wreath, my joy, I had great love for you, but no more.  \r\n7. This song was composed by soldiers from Nymburk, who loved girls in Prague and Hradec. They composed it nicely for Czech maidens, we will no longer love you, all of you are deceitful.', 'Madam! Where is your daughter? I have come to visit her; three years have passed since I last saw her, I have come to find comfort. ""Our daughter lies in the cemetery, there is her bed: do not think any longer, dear Jeníček, that she will be your wife!"" As my mother spoke these words, my spirit faltered, that creature no longer exists in the world, the one my heart longs for. Madam! Show me the place where I am to look for my beloved; I will go to the cemetery, I will dig diligently, so that I may still guard her. As soon as I took a step into the cemetery, I saw a new grave there; two red roses gave me a sign that here lies my heart. I ask you, red roses! Is this the grave of my beloved? The roses bent down, gave me a sign that here lies my heart. Arise, my dear, my golden heart! Speak a word to me! ""I would gladly rise, speak to you — my little heart is faint."" Oh, I, a sad, unfortunate creature in this miserable world! My rose has withered, dear to my heart very much, it will bloom no more for me. Rest in this dark grave, I am going away from you now; I will never again see your rosy cheeks like the morning light! Unhappy are you, meadows of Jičín, where I used to walk, when I led my maiden, beautiful little dove, by the hand! Unhappy is the Jičín gate, unhappy the road! Because it did not allow me to love, did not permit what delighted my heart. Unhappy are such parents who forbid their children! They forbid them, do not let them marry, but cast them into the grave.']"
1,116,1_feast_christmas_lord god_heaven,"['feast', 'christmas', 'lord god', 'heaven', 'bread', 'sing', 'son', 'sings', 'sang', 'god grant']","['Our dear uncle, listen to us for a moment while we sing to you and joyfully tell a story. Jesus, the little child, a beautiful boy, was born in Bethlehem, born of the Virgin Mary. And in that common stable, He was laid on hay between two oxen by His beloved mother. He suffered hunger, thirst, and cold, all for our fault: that King of heavenly glory visited us, the earthly people. Amen, we will now sing and ask for carols: do not let us stand here, nor delay long. If you do not give – let us rejoice! you will find remembrance – let us be glad! in the new little coat and warm bed you will find a hole. A hole so small that a deer could jump through it here, being shot: so you will see, if you do not give, you will see harm.', '1. Boys, come to us, I will tell you something: Dress yourselves in a little coat, we will all go to Baby Jesus, we will sing, we will carol.  \r\n2. An angel is floating in beautiful clouds, singing with a pleasant voice, revealing joy to the people: Jesus was born to us, God and Lord.  \r\n3. He lies in Bethlehem, in a stable on hay, he has no pillow nor ragged swaddling clothes, born into this poor world in poverty.  \r\n4. Honzík, hurry and run to the forest, bring him some dry wood, keep little Jesus warm, so he does not freeze with his dear mother!  \r\n5. Nanynka is running, she is already at the door, carrying a bottle of cream, a piece of butter for the semolina, to make porridge, to give to Jesus.  \r\n6. Tonda with the pipes, Vašek with the trumpets are hurrying to Bethlehem, to play for him a little, to make music there.  \r\n7. Then they played for the little king right away: břim břim tradla fidli fidli, dujduj dadla dydli dydli; hop hop hopsasa, sang the group.', ""1. Praised be the Lord Jesus Christ, brother Matěj! Forever and ever, amen, brother Ondřej. I’m running to Bethlehem, I don’t know what is happening there. Oh please, come back with me, I will tell you something.  \r\n2. Our boys were tending the flocks near Bethlehem at night, at midnight there was a brightness as clear as day, they heard angelic singing, they ran to Bethlehem, saying the Messiah was born, they spoke the truth.  \r\n3. In that common stable lies in the hay in the manger, he has a mother, a poor mother in wretched swaddling clothes, he is said to be so beautiful, he smiles at everyone, whoever looks at him feels joy from him.  \r\n4. Anastasia the merchant’s [brings] almonds, biscuits, Cecilia the craftsman's daughter brings apples, nuts, and Františka brings spices and Františka brings spices, Lucka brings gingerbread, marzipan, and Lenka brings melons.  \r\n5. Františka, the smith's daughter, carries the quilt, just hurry up, she’s trembling from the cold, Františka is pulling feathers, Verunka will sew it, just hurry quickly, or it is cold.  \r\n6. And you, brother friends, tune the instruments, where are the little children, they will sing, Franta, you start the organ, Ondřej start the trombones, Tadeáš had a horn and Nácek the drums.  \r\n7. Bagpipes, bagpipes I will blow, let them roar loudly, let the music by the manger please him, let us be joyful when Jesus is sleeping, his mother will rock him, he will fall asleep peacefully. Children still sang this as a Christmas carol about thirty years ago.""]"
2,112,2_farmer_cows_sheep_little horse,"['farmer', 'cows', 'sheep', 'little horse', 'horses', 'horse', 'plowing', 'forest', 'plow', 'peasant']","['The farmer is cutting in the forest, the wolf is carrying the gamekeeper: ""Wait, farmer, you must pay seven coins! Give me some cabbage, I\'ll give you whole wood; give me some mushrooms, I\'ll give you a whole oak."" Gamekeeper, gamekeeper, gamekeeper, 1) that is a secret beast: he sold the little oak for a salt barrel.', '1. The farmer is mowing in the meadow, his scythe does not want to cut, and he looks back, raising his eyes to the sky to see how high the sun is.  \r\n2. The sun is at noon, my dear, escort me, escort me across the village, and I will escort you through the forest, then we will part ways.  \r\n3. When she went out on the path, she sang that little song, she sang hahaha, I have already won, my golden huntsman.  \r\n4. The huntsman killed a jay, put it in his hat, it scratched itself until it scratched its way into the green grove.  \r\n5. There it perched on a little branch, sang that little song, sang hahaha, I have already won, my golden huntsman.', 'II. Master of masters, trained in all schools! Tell us, what is this: One? – ""Eagle bird, that is: a machine, my dear, with a white bed, we will go lie down on it, and our little innkeeper will pour drinks."" Master of masters, trained in all schools! Tell us, what is this: Two? – ""Two calves and a cow, Andulička was grazing them there. Eagle bird, that is: a machine, my dear, with a white bed, we will go lie down on it, and that handsome little innkeeper will pour drinks."" Master of masters, trained in all schools! Tell us, what is this: Three? – ""Three horses went, two calves and a cow, Andulička was grazing them there,"" etc. Master of masters, trained in all schools! Tell us, what is this: Four? – ""Four does went, and three horses, two calves and a cow,"" etc. Master of masters, trained in all schools! Tell us, what is this: Five? – ""Five stallions, four does went and three horses,"" etc. Master of masters, trained in all schools! Tell us, what is this: Six? – ""Six shoemakers, five stallions, four does went,"" etc. Master of masters, trained in all schools! Tell us, what is this: Seven? – ""Seven roasted larks, six shoemakers, five stallions,"" etc. Master of masters, trained in all schools! Tell us, what is this: Eight? – ""Eight unfaithful maidens, seven roasted larks, six shoemakers,"" etc. Master of masters, trained in all schools! Tell us, what is this: Nine? – ""Nine straw monasteries, wonderfully built; eight unfaithful maidens,"" etc. Master of masters, trained in all schools! Tell us, what is this: Ten? – ""Ten geese, they must go into the oven; nine straw monasteries,"" etc. Master of masters, trained in all schools! Tell us, what is this: Eleven? – ""Eleven swans, they will be to our liking; ten geese,"" etc. Master of masters, trained in all schools! Tell us, what is this: Twelve? – ""Twelve apostles sit around the table. Eleven swans, they will be to our liking. Ten geese, they must go into the oven. Nine straw monasteries, wonderfully built. Eight unfaithful maidens. Seven roasted larks. Six shoemakers. Five stallions. Four does went, and three horses. Two calves and a cow, Andulička was grazing them there. Eagle bird, that is: a machine, my dear, with a white bed, we will go lie down on it, and the golden little innkeeper will pour drinks.""']"
3,86,3_beer_drink_drinks_drunk,"['beer', 'drink', 'drinks', 'drunk', 'cheerful', 'pour', 'tavern', 'praise', 'coffee', 'heaven']","['1. The most beautiful human life is the maltster’s life, it is the maltster’s life. Only there does the work succeed, where good beer is brewed, where good beer is brewed. The mug always full of divine yeast, a joy to watch the merry crew, noisy in the taproom, cheerful jest, smoke and mist pierce through.  \r\n2. The axe goes for Pepík: Get up, Pepé, into youth, loosen up a little more, here’s the key from the foreman. The young man jumps up, rubs his eyes, runs to the cellar, fills the mug, what was behind, then quickly forward, he would spend the world.  \r\n3. A girl went for yeast, they send her to the brewhouse, the brewmaster is said to give it to her, he likes pretty girls. The girl stands shyly behind the barrel, “Sir brewmaster, could you give the better yeast?” He took her by the chin, pressed a kiss on her, had better gain with it.  \r\n4. And that malt-drier like a fierce dragon, uncombed, unwashed, often thirsty in the throat, despite working hard. He likes best to enjoy caraway schnapps in the small room, he has his flask for that devil, don’t be surprised at him, he would drink like a wolf, his throat is pitch-coated.  \r\n5. Observe the friend with the green from Gotvald, the Stachovka is from Czech Pilsen, what a handsome young man he is. Wherever he wanders, he turns the malt mill, pays excise and gets more beer, cheerfully raising a full tray: Hail Gambrinus!', 'Where there is a brewer, there is a young lad, there is also a brewery; where beer is brewed, life goes well: let’s go there and drink it until the bright morning! We drink beer to know if we understand each other; whether we love each other, whether we are friends: let’s go there and drink it until the bright morning! To drink beer, to be cheerful, to have a lovely girl in love, that, dear brothers, cheers us every moment: let’s go there and drink it until the bright morning! To drink beer, to live for the homeland, to respectfully honor language and king: that is our right, may Czechia be healthy; let’s go there and drink it until the bright morning!', ""A most glorious day has come to us, on which everyone is to be joyful, whoever has anywhere to begin, even if only for a whole week. We have nowhere to begin, we must go caroling to you, dear, esteemed gentlemen, may God grant you success! To your wife, your children, and your household: may the Lord bless you in your work. Give us a thaler or a ducat, we will remember you, for all time our group will praise you. If you lessen it for us, and give some gold: give it only willingly; we will gladly accept it from you as thanks, and we will buy wine for our coats, we will season it with spirits, and line it with bitters. We have long asked for this, that we might meet with you; united together, let us hold a celebration! We will be merry together, we will toast each other: wine, beer, and spirits for each other's health. Then we will part from you, and all go home again to our work, hardworking brewers. And you, boy, sweep, gather the grain into a pile! You know we like to drink, and do not waste. It was the last day of the year 1840. In the New Town of Prague, in a freight house, we sat down to dinner: the host, the brewer, an honest Old Czech, at the head, and the rest of us in two rows along the whole length of the hall up to the doors. Then a song sounded outside: “A most glorious day has come to us,” the doors opened and the brewing youth entered the room singing, each carrying something: the deputy elder a rod, the herd a sack, two water carriers a sprinkler and incense borrowed from the church, sprinkling and incensing, each brewer and maltster a shovel, and the boys brooms. Standing half-circle by the door they sang further. And when the words of the last stanza came: “And you, boy, sweep,” the host threw a hard thaler to the ground, the herd set the sack and the boy drove the thaler into it with his broom. Then the deputy elder wished the host and his whole family a “happy new year,” thanked them for the gift, and then, all bowing, they left again.""]"
4,80,4_little horse_soldiers_black horse_horse,"['little horse', 'soldiers', 'black horse', 'horse', 'horses', 'army', 'loved', 'military', 'god grant', 'lord']","['1. Brothers and friends, gladly go to the army, brothers and friends, gladly go to the army. For it will not be like this for you as it is in the army, they will give you new clothes, money, and also bread.  \r\n2. There you have it, little soldier, a rifle, just take it with joy. The pistol is on the table, saddle your horse, a black horse, I will sit on it.  \r\n3. The general rides fiercely, holding a saber in his right hand. He commands us to calm down, God knows where I will perish, I fight for the Czech homeland, at home I have a pretty girl.  \r\n4. If you love me, girl, make sure to redeem me. Pay a hundred gold for me, then redeem me, I am a prisoner for the Czech homeland, at home I have a pretty girl.', 'Spring is opening, everything is smiling, it is melancholy to sit still; the trees are greening, the birds are singing, it is a joy to go out: and I will not go on foot, I will ride a horse, and I will contemplate the green color and the beautiful red. The captain said to me: ""Tell me honestly, what compels you to join the army in the camp near Prague and want to be a hussar?"" And kind sir! Whatever I ask for, let it happen: my little heart has long suffered, it longs for that green color. Then they dressed me, wished me luck, gave me a green coat, red cuffs – oh, how lovely that is! – they gave me these as a gift; a cap with a feather: My lady! Hurry here, give me your hand and give me a little kiss, we are parting now. My lady runs, wringing her hands, she cries and laments: ""Oh, what have you done and why have you grieved me so?"" She wipes her black eyes. Don\'t cry and don\'t lament, and think of this joy; go back home, commend yourself to God – you have plenty of young men there!', '1. That charming little church,  \r\naround it a small grove,  \r\nwhen I walk that way,  \r\nI will remember  \r\nwhat my Jeníček is doing.  \r\n\r\n2. And he rides, rides, rides  \r\non his black horse,  \r\nlooking at himself  \r\nand fastening  \r\na steel saber to himself.  \r\n\r\n3. When he fastened the saber,  \r\nhe stood in front of his house,  \r\ncalled out to his parents,  \r\nwept sadly,  \r\nuntil the black horse neighed.  \r\n\r\n4. What are you doing, parents,  \r\nwhat are you doing,  \r\nthat you make me stand  \r\nwith this horse  \r\nin front of our house for so long?  \r\n\r\n5. His mother heard that  \r\nand immediately ran outside:  \r\n“Oh, my dear son,  \r\nwho sent you to the army,  \r\nwho is responsible for this?”  \r\n\r\n6. The cause is that lord,  \r\nthe lord lieutenant of Brod,  \r\nhe sent me to the army,  \r\ntied me with ropes,  \r\nand even put a guard on me.']"
5,64,5_saint_saint peter_rye_sunday,"['saint', 'saint peter', 'rye', 'sunday', 'wheat', 'barley', 'bread', 'march', 'spring', 'day']","['September 25. Saint Maurice causes wheat to become blighted (for whoever plows or sows it on that day).', ""June 15. On Saint Vitus's Day, it dawns all night."", 'Saint Margaret! Give us good grain for wheat and rye, so that we have something to live on and to bring into the barn. Also: let the ears be large, so that we may come again after a year.']"
6,48,6_circle_children_little bird_hop,"['circle', 'children', 'little bird', 'hop', 'dance', 'song', 'turn', 'sing', 'dancing', 'jump']","[""The little hare sat alone in its hole, sat alone. Poor thing, what’s wrong that you can’t hop? Feel like hopping, feel like hopping and jump up! Song for a children's game about the little hare: Children stand in a circle, hold hands, and spin around. One sits in the middle on their haunches and uses their fingers to mimic hare ears. The circle sings. The hare jumps up, catches one child from the circle, and that child becomes the hare."", 'II. Two boys first secretly agree between themselves who will be the Angel and who will be the Devil, and with a half-step they make a gate, but each only with one hand. The other boys, holding hands, form a circle in the gate, so that one pillar of the gate is inside the circle and the other pillar is outside the circle. The circle begins to turn, and the Devil and the Angel sing as follows: Under the pit, a mouse, under the pit: come, you tomcat, come with us! The keys ring, the violet scents. The gate is open, supported by a sword: whoever touches the gate shall be beheaded. Slash! Slash! Slash! At the word “slash!” the arch is lowered for the first and second time always between two boys in the circle, and immediately lifted again; but at the third time the circle stops, and the gate asks the one in front of whom the arch was lowered: “Whom do you join?” He then answers: “You,” pointing to one or the other, not knowing whether he joined the Angel or the Devil, and stands behind him. Then the circle closes again, starts to turn, and the gate sings as in the beginning: Under the pit, a mouse, etc. This goes on until even the last one in the circle has joined either one or the other side of the gate. Then the Angel and the Devil reveal themselves, and the “Heavenly ones” and the “Hellish ones” begin to fight, pulling each other across the Line as in the previous game.', 'Helička was not proud, not proud, yet she came to our feast, came: Heličko! Heličko! Smooth your golden cheek, hop on your bare little foot, choose a bridesmaid from the circle, from the rose a blossom, from the rose a blossom, the one that would suit you best. Now the circle will remain standing, Helička will take one bridesmaid from it and dance three times with her in the circle, during which the other bridesmaids, standing, sing as follows: Over mountains, over valleys, over waters, over forests, hey little ball, you golden quince! Let go of that bridesmaid, stay in the circle. Then Helička leads the bridesmaid back to her previous place in the circle, stands again in the middle, and the bridesmaids, beginning to turn around her again, sing as at the beginning: Helička was not proud, etc. Now Helička takes the second girl in the circle to dance, and then the third, and so on one after another, until she has replaced them all, which ends the game. In practice, the children deviate from this order of the game by having Helička, after dancing with a bridesmaid, leave her in her place in the circle and herself, becoming a bridesmaid, turn with the others around the new Helička; in this way, everyone takes turns. However, this is against the rule of the song itself, which explicitly commands Helička to let go of the bridesmaid and remain in the circle herself.']"
7,46,7_prague_czech_sang_soldiers,"['prague', 'czech', 'sang', 'soldiers', 'godfather', 'libeň', 'army', 'little horse', 'little rose', 'military']","[""Libeň 1905, singer not specified\r\n\r\n1. Four horses in the yard, in the yard, no one plows with them, Pepíček plows with them, Pepíček, has a little hat on the side.  \r\n2. When he finished plowing the field, he called to his beloved: Come, my dear, come to me, I will tell you what is wrong with me.  \r\n3. My little head hurts, mother hit it, father also hit it, so I wouldn't come to you.  \r\n4. They may not beat you for me, you can go to another. I will not go to another, I'd rather join the army.  \r\n5. Don't join the army, don't pout at your parents! I will surely join the army, I will pout at my parents.  \r\n6. I jump on my little horse, I wave a white scarf. Goodbye, my dear, tomorrow will be different again. Goodbye, my dear, tomorrow will be different again."", 'Prague 1916, ""the soldiers of the 28th regiment sang on the march""  \r\n1. I am Honza, my mother\'s son, I won\'t be any different anymore. What would our Kačka say if the military police took me? Old woman, keep your step, don\'t stagger!  \r\n2. I am Honza, my mother\'s son, I won\'t be any different anymore. We have one beautiful body here, it could carry a mountain gun. Old woman, keep your step, don\'t stagger!', 'Prague 1916, ""soldiers of the 28th regiment sang on the march""\r\n\r\n1. The spring sun behind black clouds sadly descends, the spring sun behind black clouds sadly descends, Czech reservists, poor soldiers, are drafted to the field, Czech reservists, poor soldiers, are drafted to the field.\r\n\r\n2. They say farewell to their dear Czech homeland, their hearts ache, to occupy the distant Montenegrin borders in Dalmatia.\r\n\r\n3. On the borders of Montenegro itself, there is a deep chasm, where many a young girl lovingly leaves her sweetheart.\r\n\r\n4. The wide sea and high rocks are our friends, they will not return to us what we loved, the sincere girl.\r\n\r\n5. Often I wonder to myself what my beloved is doing, whether he still remembers that Czech girl, whether he still recalls.\r\n\r\n6. When the military band plays ""Where is my home,"" at that moment the blue-eyed girl must still cry.\r\n\r\n7. This song was composed by soldiers, Czech reservists, in that fourteenth year, during the world war under a bright moon.']"
8,39,8_shoe_farmer_shoes_feet,"['shoe', 'farmer', 'shoes', 'feet', 'mocking', 'door', 'foolish', 'devil', 'peter', 'hadn']","['1. When the first shoemaker was born, boom and boomadra, the whole world got angry, boom and boomadra. And the devils in hell were shouting how they betrayed the shoemaker, boom and boomadra, boom and boomadra.  \r\n2. I went there to have shoes made, he said he couldn’t make them, that he couldn’t make them because he had ugly leather.  \r\n3. And I started at him abruptly, saying I must have them by tomorrow. The shoemaker was immediately frightened, and sat straight on a chair.  \r\n4. And then he sees a pig from the window, remembered that he has no bristles, and rushes out the window, sits on the pig.  \r\n5. With one hand he holds the pig, with his teeth he tears out its bristles. [...]  \r\n6. I am the constable’s pig! Even if it was the steward’s pig, I must have the bristles so I can make shoes.  \r\n7. Then the pigs got angry about how they would ruin the shoemaker; when he stands under the window, they will eat him with the chair.  \r\n8. When shoemakers meet a boar, they tip their hats to him: Hail to you, only boar, you give us bristles.', '1. When I went along a narrow path,  \r\nI met a pretty maiden,  \r\nnot tall, not big,  \r\npretty, chubby.  \r\n\r\n2. I began to ask her,  \r\nwhen will you get married?  \r\nIn a year, in two years,  \r\nsaid the gentleman.  \r\n\r\n3. Slowly, Pepíček, step lightly  \r\nand don’t stomp with your little boots,  \r\nthe lady lies  \r\nnot far from the door.  \r\n\r\n4. The lady got up in the morning  \r\nand immediately asked her daughter:  \r\n“Who was here with you?  \r\nI couldn’t sleep!”  \r\n\r\n5. My dearest lady,  \r\nour tomcat was catching mice,  \r\njumped onto the shelf,  \r\nbroke his little leg.  \r\n\r\n7. And from the shelf, he jumped down again,  \r\nbroke his other leg too,  \r\ninto two, three pieces,  \r\noh, that must hurt.', ""1. The shoemaker is hanging from a pea stalk on Lysý, it quickly spread throughout the whole village. [chorus] And you dirty little shoemaker, not even the devil wants you in hell, and you dirty little shoemaker, as if you had bad luck.  \r\n2. The shoemaker's wife ran to the priest to have him bury what the people lie about.  \r\n3. The priest says: That cannot be, he must only be buried beyond the wall.  \r\n4. The shoemaker's wife ran immediately like crazy, that the shoemaker's soul will go to hell.  \r\n5. The eldest journeyman grabbed the bellrope, rang the master's sad hour.  \r\n6. The shoemaker comes to hell, the devil told him he does not want to have bad luck, only that he should go on.  \r\n7. The shoemaker comes to heaven, Saint Peter says: You cannot enter heaven, you would scare God.  \r\n8. Oh, what a poor soul I am, where should I go now, I must go back to earth to frighten people.""]"
