id	assigned_topic	topic_label	label
goheung-0203	1491	1491_ferry_songwriter_albums_toured	Work_agricultural
euiseong-0708	2322	2322_moon_drummer_drums_drummers	Work_construction
gumi-0104	1770	1770_bugs_insects_insecticides_pest	Work_agricultural
jincheon-0207	306	306_medals_medal_commendation_gallantry	Work_construction
sangju-0120	885	885_golfer_masters_golf_golfers	etc_minstrel
sangju-1444	925	925_stones_stone_guitarist_guitarists	Work_agricultural
haenam-0136	1477	1477_smartwatch_watches_smartwatches_apple	etc_minstrel
jinyang-0425	1534	1534_famine_famines_starvation_rice	Work_agricultural
goheung-0512	1409	1409_missionaries_charity_nuns_orphanages	Lament_lament
yeongdong-0104	1013	1013_law_jurisprudence_judicial_statutes	Lament_lament
sangju-1034	1132	1132_burning_burners_organizers_attendees	Work_artisan
cheolwon-1105	1862	1862_quixotic_literature_chivalric_novel	Work_agricultural
sancheong-0603	2222	2222_retailer_store_sales_shop	Work_agricultural
gyeongju-0413	2322	2322_moon_drummer_drums_drummers	Work_agricultural
cheongsong-0416	0	0_goalscorer_scored_goals_goal	etc_minstrel
euiryeong-0208	2322	2322_moon_drummer_drums_drummers	Work_construction
yeongil-0719	1915	1915_fate_fates_doctor_doctorate	Entertainment_children
bukjeju-1406	1302	1302_famine_crops_agrarian_agricultural	Work_agricultural
hwacheon-0217	1028	1028_probability_probabilities_doors_car	Lament_lament
sangju-0605	718	718_nam_chi_southeast_urban	Work_agricultural
hongseong-0127	2322	2322_moon_drummer_drums_drummers	Work_agricultural
chuncheon-0714	171	171_mountains_mountain_plains_topography	Work_construction
taean-0404	1119	1119_proud_boys_protests_protesters	Work_agricultural
samcheok-0704	1394	1394_brothers_nick_band_songs	Work_artisan
yangyang-1612	762	762_dragons_dragon_amulets_carvings	Work_construction
cheongdo-0511	1353	1353_cherry_blossom_cherries_blossoms	Lament_eosayong
changnyeong-0320	1440	1440_strings_theories_string_theory	Work_construction
seongju-0662	2240	2240_sesame_episodes_cartoon_licensing	Work_artisan
yeongil-0655	2108	2108_wu_han_tung_qi	Work_agricultural
yeongdeok-0526	2034	2034_marvel_superhero_comics_valkyrie	Lament_eosayong
changnyeong-0203	938	938_ford_presidency_presidential_presidents	Work_agricultural
sangju-1121	1083	1083_tanks_tank_partisan_ideological	Work_artisan
daegu-0430	103	103_climber_climbers_mountaineering_climb	Ritual_funeral
naju-0409	2322	2322_moon_drummer_drums_drummers	Work_agricultural
geumreung-0313	1271	1271_jong_heir_eldest_successor	Work_agricultural
yeongcheon-0216	1789	1789_tai_chi_martial_wushu	Lament_eosayong
gunwi-0225	2163	2163_sausage_sausages_bun_chili	Lullaby_lullaby
gangjin-0318	1533	1533_hunger_uprisings_rebellion_capitol	Lullaby_lullaby
gapyeong-0307	55	55_candidacy_candidate_candidates_presidential	Lullaby_lullaby
muan-0143	299	299_numerals_numeral_numbers_numerology	Lullaby_lullaby
buan-0112	2275	2275_irrigation_sea_waters_salinity	Work_fishing
gn.goseong-0107	2154	2154_studios_lions_acquisitions_paramount	Lament_lament
taean-0410	0	0_goalscorer_scored_goals_goal	Work_fishing
wonju-0513	938	938_ford_presidency_presidential_presidents	Entertainment_children
seonsan-0205	2322	2322_moon_drummer_drums_drummers	Work_agricultural
yeongi-0602	2322	2322_moon_drummer_drums_drummers	Work_agricultural
gochang-0507	380	380_temple_cult_peoples_disciples	Work_agricultural
anseong-0105	2169	2169_boiler_turbine_engines_invention	Work_agricultural
daegu-0714	1915	1915_fate_fates_doctor_doctorate	Work_agricultural
hampyeong-0402	472	472_traditional_dhoti_sari_dresses	Lament_lament
andong-0608	762	762_dragons_dragon_amulets_carvings	Work_artisan
cheongwon-0204	1297	1297_hello_greeting_cat_cuteness	Work_agricultural
namjeju-0202	380	380_temple_cult_peoples_disciples	Work_agricultural
cheongsong-0506	1872	1872_tsar_1812_armies_casualties	Work_agricultural
hoengseong-0324	718	718_nam_chi_southeast_urban	Ritual_funeral
